Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Operating Income,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),  Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,  Net Income,  Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Insider Shares Owned,Institution Shares Held,Insider Ownership %,Institutional Ownership %,Price-to-Net-Current-Asset-Value,Price-to-Net-Net-Working-Capital,Price-to-Graham-Number,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (FCF Based),Price-to-Earnings-Power-Value,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Peter-Lynch-Fair-Value,Price-to-Median-PB-Value,Price-to-Median-PS-Value,Price-to-Net-Cash
198812,32.175,-48.295,-48.295,1.15,1.15,0,0,0,0.3,21.93,21.93,71.251,10.21,0,0,0,"-2,371.74",-446.67,0,0,0,-150.1,0,0,3.249,0.15,0.488,176.26,0.441,0.261,0,0,0,0,0,0,0.105,"31,586.40",0,"31,586.40",0,0,"78,998.10","-47,411.70",0,0,0,"47,411.70",0,0,0,0,"1,157.90",0,0,0,1.22,1.15,981.716,0,"-47,411.70","6,724.90",0,"6,724.90",0,0,"95,686.60","95,686.60",0,0,0,0,"6,638.20","6,638.20","9,838.90","118,888.60",0,0,0,0,0,"31,667.60","31,667.60","-15,675.40","15,992.20",0,0,"8,485.70","143,366.50","8,704.70",0,0,0,"8,704.70","37,835.50",0,0,0,"10,136.30","56,676.50","32,112.80",0,"32,112.80",0,"3,933.10","28,951.00","121,673.40",0,0,"20,126.50",0,0,0,"1,402.50","21,529.00",164.1,"21,693.10",0,0,"1,157.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0.47,0.47,0,0,0.11,0,0.79,0,0,0,0,0,0,"10,023.36","73,410.86",-117.26,-3,-113.88,0,30.56,0,51.67,0,1.41,0,0,0,0,2.1,1.98,N/A,11.05,9.99,1.45,74.12,33.72,-5.01,0,981.716,981.72,1.37,,,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.33,0
198903,26.351,26.351,26.351,1.72,1.72,0,0,0,0.375,0,0,0,9.89,0,0,0,"1,294.08",243.71,0,0,0,100,0,0,-,0,0,144.35,0.361,0.218,0,0,0,0,0,0,0.128,"25,869.00",0,"25,869.00",0,0,0,"25,869.00",0,0,0,"-25,869.00",0,0,0,0,"1,637.00",0,0,0,1.72,1.72,981.716,0,"25,869.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,637.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0.1,0,0.1,0.52,0.52,192.31,0,0,12.89,"9,709.21","9,709.21",0,0,0,0,32.77,0,0,0,0,0,0,0,0,0,0,No Debt,11.35,9.78,0,34.02,3.61,34.02,0,981.716,981.72,1.33,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
198906,27.312,27.312,27.312,1.51,1.51,0,0,0,0.375,0,0,0,9.81,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0.248,0,0,0,0,0,0,0,"25,889.70",0,"25,889.70",0,0,0,"25,889.70",0,0,0,"-25,889.70",0,0,0,0,"1,407.10",0,0,0,1.51,1.51,947.912,0,"25,889.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,407.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0.09,0,0.09,0.42,0.42,238.1,0,0,13.76,"9,299.00","9,299.00",0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0,No Debt,10.11,9.38,3.44,18.88,-12.21,18.88,0,947.912,947.91,1.29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0
198909,21.355,21.355,21.355,0.52,0.52,0,0,0,0.375,0,0,0,10.29,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0.721,0,0,0,0,0,0,0,"20,242.30",0,"20,242.30",0,0,0,"20,242.30",0,0,0,"-20,242.30",0,0,0,0,477.1,0,0,0,0.52,0.52,947.912,0,"20,242.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0.1,0,0.09,0.4,0.4,250,0,0,13.85,"9,753.99","9,753.99",0,0,0,0,35.37,0,0,0,0,0,0,0,0,0,0,No Debt,10.97,9.63,0,19.99,-40.91,19.99,0,947.912,947.91,1.26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0
198912,25.531,-61.352,-61.352,0.3,0.3,0,0,0,0.375,24.033,24.033,90.311,8.82,0,0,0,"-2,494.83",-447.69,4.64,0,0,-240.3,0,0,3.63,0.146,0.531,120.05,0.3,1.25,0,0,0,0,0,0,0.141,"24,144.90",0,"24,144.90",0,0,"82,165.80","-58,020.90",0,0,0,"58,020.90",0,0,0,0,313.8,0,0,0,0.35,0.3,945.712,0,"-58,020.90","5,421.30",0,"5,421.30",0,0,"106,782.80","106,782.80",0,0,0,0,"6,816.80","6,816.80","8,429.90","127,450.80",0,0,0,0,0,"34,969.70","34,969.70","-16,364.50","18,605.20",0,0,"14,837.30","160,893.30","11,381.90",0,0,0,"11,381.90","46,486.90",0,0,0,"7,597.70","65,466.50","38,921.30",0,"38,921.30",0,"3,392.80","29,418.10","137,198.70",0,800,"21,704.00",0,0,0,"1,023.80","23,527.80",166.8,"23,694.60",0,0,313.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0.37,0.37,0,0,0.09,0,0.93,6.39,6.39,15.65,0,0,17.01,"8,341.16","89,294.86",-139.52,-11.33,-136.76,0,33.18,0,46.8,0,1.29,2,0,0,0,1.95,1.84,N/A,10.77,8.42,0.23,-20.65,-73.91,-27.04,0,945.712,945.71,1.25,,,0,"366,600.00",0,0,0,0,0,0,0.19,0,0,0,0,0,0.16,0.27,0
199003,25.643,4.142,3.978,0.55,0.55,0,-0.157,1.599,0.375,24.868,24.868,92.374,9.56,8.58,22.58,1.26,77.24,8.04,3.28,0,19.87,15.51,2.14,-0.61,3.589,0.147,0.528,11.65,0.147,0.682,0,36.39,34.39,-2,2.65,0.8,0.302,"23,600.60","18,911.50","4,689.10",877.3,0,151,"3,660.80",0,0,0,"-2,774.20",-37.6,886.6,-380.4,42.91,506.2,0,506.2,0,0.55,0.55,920.364,151,"3,811.80","4,533.50",0,"4,533.50",0,0,"4,879.80","4,879.80",0,0,0,0,"7,436.50","7,436.50","7,841.10","24,690.90",0,0,0,0,0,"37,797.30","37,797.30","-18,486.80","19,310.50",0,0,"117,207.00","161,208.40","7,542.20",0,0,0,"7,542.20","2,724.00",0,0,0,"11,686.30","21,952.50","82,325.80",0,"82,325.80",0,"3,594.20","29,455.80","137,328.30",0,800,"21,865.00",0,0,0,"1,031.50","23,696.50",183.6,"23,880.10",506.2,0,506.2,151,0,0,0,0,0,0,0,0,814.3,"1,471.50","-1,616.20",0,0,0,"-4,284.60","5,018.70",0,0,-8.5,-890.6,0,0,0,8.6,-345.2,-605,-941.6,-360.7,"-1,616.20",-144.7,3.32,0,0.38,0.38,0,5.98,0.1,0,0.96,-11.18,-10.97,-9.12,0,0,15.69,"8,801.99","90,301.89",-144.43,-123.41,-141.26,0,32.95,0,40.14,0,0.85,0,0,0.649,-0.05,1.12,0.79,N/A,9.86,8.44,2.64,-2.69,-68.02,-84.28,0,920.364,920.71,0.97,,,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0.17,0.29,0
199006,28.939,4.632,4.353,0.83,0.83,0,0.762,2.634,0.375,25.616,25.616,98.502,8.85,12.82,36.63,1.87,81.81,8.76,2.32,0,19.71,15.04,2.87,2.63,3.719,0.144,0.537,12.83,0.163,0.452,0,32.25,31.03,-1.22,2.94,0.8,0.273,"26,871.70","21,575.60","5,296.10",995.5,0,258.2,"4,042.40",0,0,0,"-2,706.20",-26.7,"1,336.20",-565.5,42.32,770.7,0,770.7,0,0.83,0.83,928.554,258.2,"4,300.60","6,648.40",0,"6,648.40",0,0,"5,600.40","5,600.40",0,0,0,0,"7,237.20","7,237.20","8,693.10","28,179.10",0,0,0,0,0,"38,707.50","38,707.50","-18,486.80","20,220.70",0,0,"120,534.10","168,933.90","7,624.30",0,0,0,"7,624.30","2,405.50",0,0,0,"12,388.10","22,417.90","88,305.90",0,"88,305.90",0,"3,565.10","30,113.20","144,402.10",0,800,"22,290.50",0,0,0,"1,299.80","24,390.30",141.5,"24,531.80",770.7,0,770.7,258.2,0,0,0,0,0,0,0,0,"1,416.90","2,445.80","-1,738.00",0,0,0,"-7,133.80","6,212.50",0,0,"-3,188.20","-5,847.50",0,0,0,"5,491.00",-345.2,135.7,"5,281.50","1,879.80","-1,738.00",707.8,4.02,0,0.35,0.35,14.63,2.09,0.09,0,0.98,-3.14,-3.1,-32.26,0,0,16.95,"8,150.05","93,154.55",-149.74,-127.23,-146.68,0,33.48,0,35.61,0,0.86,0,0,0.674,2.43,1.26,0.93,N/A,9.76,8.77,-0.02,5.96,-45.03,-83.04,0,928.554,920.91,0.94,,,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.15,0.26,0
199009,22.603,3.196,2.945,0.1,0.1,0,-0.359,1.471,0.375,25.546,25.546,98.97,6.24,1.66,6.92,0.24,57.47,6.71,1.47,0,18.14,13.03,0.44,-1.59,3.748,0.144,0.54,9.82,0.135,3.75,0,35.59,36.34,0.75,2.51,0.82,0.326,"22,986.90","18,816.30","4,170.60",920.1,0,255.4,"2,995.10",0,0,0,"-2,830.00",-9.5,165.1,-63.4,38.4,101.7,0,101.7,0,0.1,0.1,"1,017.00",255.4,"3,250.50","5,570.90",0,"5,570.90",0,0,"4,838.60","4,838.60",0,0,0,0,"7,750.00","7,750.00","8,810.40","26,969.90",0,0,0,0,0,"39,957.80","39,957.80","-18,486.80","21,471.00",0,0,"122,309.40","170,750.30","7,339.90",0,0,0,"7,339.90","2,737.30",0,0,0,"12,665.00","22,742.20","89,513.60",0,"89,513.60",0,"3,623.40","30,112.10","145,991.30",0,800,"22,044.10",0,0,0,"1,767.80","24,611.90",147.1,"24,759.00",101.7,0,101.7,255.4,0,0,0,0,0,0,0,0,"1,139.40","1,496.50","-1,861.90",0,0,0,"-9,861.20","10,319.30",0,0,"-1,035.60","-2,439.40",0,0,0,479.9,-338.1,-325.8,-184,"-1,126.90","-1,861.90",-365.4,3.51,0,0.24,0.24,25.37,1.09,0.06,0,0.96,-2,-1.97,-50.76,0,0,24.04,"5,816.37","93,443.47",-150.81,-128.71,-147.51,0,33.9,0,31.99,0,0.85,0,0,0.66,3.01,1.19,0.85,N/A,9.1,6.24,-1.22,5.84,-80.77,-85.03,0,"1,017.00",932.11,1.01,,,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.11,0.18,0
199012,24.176,2.401,-0.118,-0.59,-0.59,0,-23.996,1.999,0.375,24.557,24.557,100.939,5.39,-8.53,-38.77,-1.2,-2.16,-0.22,1.2,0,22.86,-0.49,-2.14,-99.26,3.974,0.138,0.55,12.85,0.14,0,0,53.29,36.35,-16.94,2.51,0.77,0.307,"24,190.80","18,660.70","5,530.10","3,128.00",0,"2,520.30",-118.2,0,0,0,-879.2,-30.7,-997.4,478.9,48.01,-518.5,0,-518.5,0,-0.57,-0.59,"1,000.63","2,520.30","2,402.10","6,767.80",0,"6,767.80",0,0,"3,537.00","3,537.00",0,0,0,0,"7,115.40","7,115.40","11,564.10","28,984.30",0,0,0,0,0,"40,694.60","40,694.60","-18,486.80","22,207.80",0,0,"122,470.60","173,662.70","10,897.20",0,0,0,"10,897.20","50,187.50",0,0,0,"26,418.70","87,503.40","45,331.80",0,"45,331.80",0,"3,103.20","13,686.20","149,624.60",0,800,"21,175.50",0,0,0,"2,062.60","24,038.10",0,"24,038.10",-518.5,0,-518.5,"2,520.30",0,0,0,0,0,0,0,0,-1.8,"2,000.00","-26,011.20",0,0,0,"-95,650.00","108,581.10",0,0,"8,461.70","-4,618.40",0,0,0,"3,300.00",-460.1,779.1,"3,619.00","1,000.60","-26,011.20","-24,011.20",6.06,0,0.22,0.22,0,0.7,0.05,0,0.97,6.88,8.95,11.17,0,0,27.83,"5,100.61","94,652.11",-150.96,-128.33,-148.05,0,33.45,0,22.18,0,0.38,5,0,0.661,4.17,0.33,0.25,N/A,6.62,5.11,-1.52,-5.31,-296.67,103.91,0,921.06,946.31,1.05,,,0,"370,400.00",0,0,0,0,0,0,0.24,0,0,0,0,0,0.1,0.16,0
199103,22.683,1.651,1.262,-0.94,-0.94,0,0.065,1.554,0.375,22.609,22.609,97.806,6.55,-15.3,-52.76,-2.07,21.72,3.24,1.23,0,14.07,5.56,-4.14,0.29,4.17,0.132,0.552,7.04,0.125,0,0,32.55,34.24,1.69,2.67,0.86,0.322,"21,341.00","18,338.40","3,002.60","1,448.80",0,366.7,"1,187.10",0,0,0,"-2,365.80",-22.4,"-1,178.70",294.3,24.97,-884.4,0,-884.4,0,-0.94,-0.94,940.851,366.7,"1,553.80","7,479.90",0,"7,479.90",0,0,"3,156.50","3,156.50",0,0,0,0,"6,646.40","6,646.40","12,374.10","29,656.90",0,0,0,0,0,"40,945.90","40,945.90","-19,422.00","21,523.90",0,0,"116,464.30","167,645.10","6,540.60",0,0,0,"6,540.60","3,277.40",0,0,0,"12,788.90","22,606.90","89,257.70",0,"89,257.70",0,"2,770.10","30,820.00","145,454.70",0,800,"19,937.90",0,0,0,"1,452.50","22,190.40",0,"22,190.40",-884.4,0,-884.4,366.7,0,0,0,0,0,0,0,0,"1,979.90","1,462.20","-1,401.10",0,0,0,"-12,461.50","12,403.30",0,0,"2,954.90","1,495.60",0,0,0,"-1,211.30",-703.2,-36.6,"-1,951.10","1,006.70","-1,401.10",61.1,0,0,0.29,0.29,0,0.86,0.07,0,0.97,8,11.36,8.8,0,0,22.9,"6,197.02","92,052.22",-145.83,-123.24,-143.17,0,32.47,0,0,0,0.8,0,0,0.618,2.07,1.31,1.02,N/A,7.03,5.08,0.02,-11.54,-270.91,-60.14,0,940.851,946.11,1.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.2,0
