GM,Dates,Last Price
0,2013-11-01,30.7922
1,2013-11-04,30.8581
2,2013-11-05,30.5452
3,2013-11-06,30.1334
4,2013-11-07,29.5816
5,2013-11-08,30.191
6,2013-11-11,30.2075
7,2013-11-12,30.191
8,2013-11-13,31.6569
9,2013-11-14,31.7063
10,2013-11-15,31.9287
11,2013-11-18,31.764
12,2013-11-19,31.3028
13,2013-11-20,31.0393
14,2013-11-21,31.3934
15,2013-11-22,30.9899
16,2013-11-25,30.924
17,2013-11-26,31.0228
18,2013-11-27,31.9946
19,2013-11-29,31.8958
20,2013-12-02,32.2087
21,2013-12-03,31.4099
22,2013-12-04,31.8793
23,2013-12-05,32.1922
24,2013-12-06,33.0817
25,2013-12-09,33.6828
26,2013-12-10,33.2711
27,2013-12-11,33.0734
28,2013-12-12,32.9828
29,2013-12-13,32.9746
30,2013-12-16,34.1276
31,2013-12-17,34.2017
32,2013-12-18,33.9876
33,2013-12-19,33.1887
34,2013-12-20,33.757
35,2013-12-23,34.004
36,2013-12-24,33.6664
37,2013-12-26,34.1934
38,2013-12-27,33.7158
39,2013-12-30,33.5099
40,2013-12-31,33.6581
41,2014-01-02,33.724
42,2014-01-03,32.5875
43,2014-01-06,33.2711
44,2014-01-07,33.1064
45,2014-01-08,33.2875
46,2014-01-09,33.3452
47,2014-01-10,32.9664
48,2014-01-13,32.5958
49,2014-01-14,32.9581
50,2014-01-15,32.4311
51,2014-01-16,32.1181
52,2014-01-17,31.7887
53,2014-01-21,31.5746
54,2014-01-22,31.9534
55,2014-01-23,31.6405
56,2014-01-24,30.331
57,2014-01-27,30.2734
58,2014-01-28,30.3146
59,2014-01-29,29.9357
60,2014-01-30,30.3393
61,2014-01-31,29.7134
62,2014-02-03,29.0298
63,2014-02-04,29.4993
64,2014-02-05,29.0216
65,2014-02-06,29.0134
66,2014-02-07,29.7381
67,2014-02-10,28.7416
68,2014-02-11,29.0298
69,2014-02-12,29.2851
70,2014-02-13,28.9887
71,2014-02-14,29.6063
72,2014-02-18,29.9028
73,2014-02-19,29.6722
74,2014-02-20,30.0675
75,2014-02-21,30.2157
76,2014-02-24,30.1004
77,2014-02-25,29.7298
78,2014-02-26,30.331
79,2014-02-27,30.2816
80,2014-02-28,29.8122
81,2014-03-03,29.8204
82,2014-03-04,30.4134
83,2014-03-05,30.8993
84,2014-03-06,30.9157
85,2014-03-07,31.0393
86,2014-03-10,30.5452
87,2014-03-11,28.9722
88,2014-03-12,28.7087
89,2014-03-13,28.0745
90,2014-03-14,28.3238
91,2014-03-17,28.7724
92,2014-03-18,29.2211
93,2014-03-19,29.0051
94,2014-03-20,29.2959
95,2014-03-21,29.0882
96,2014-03-24,29.1962
97,2014-03-25,28.6727
98,2014-03-26,28.4318
99,2014-03-27,28.6727
100,2014-03-28,28.8555
101,2014-03-31,28.598
102,2014-04-01,28.5315
103,2014-04-02,28.9802
104,2014-04-03,29.4454
105,2014-04-04,28.922
106,2014-04-07,28.3404
107,2014-04-08,28.6894
108,2014-04-09,27.9333
109,2014-04-10,27.6674
110,2014-04-11,26.5291
111,2014-04-14,27.0443
112,2014-04-15,27.7173
113,2014-04-16,28.2241
114,2014-04-17,28.2324
115,2014-04-21,28.2324
116,2014-04-22,28.4401
117,2014-04-23,28.573
118,2014-04-24,28.3902
119,2014-04-25,28.0164
120,2014-04-28,28.0496
121,2014-04-29,28.2407
122,2014-04-30,28.6478
123,2014-05-01,28.9968
124,2014-05-02,29.0549
125,2014-05-05,28.8721
126,2014-05-06,28.8721
127,2014-05-07,29.138
128,2014-05-08,28.9552
129,2014-05-09,28.4401
130,2014-05-12,28.9303
131,2014-05-13,29.2045
132,2014-05-14,29.03
133,2014-05-15,28.5481
134,2014-05-16,28.249
135,2014-05-19,27.8647
136,2014-05-20,27.4763
137,2014-05-21,27.8003
138,2014-05-22,27.7671
139,2014-05-23,27.9416
140,2014-05-27,28.1991
141,2014-05-28,28.7392
142,2014-05-29,28.6229
143,2014-05-30,28.7309
