Fiscal Period,198809,198812,198903,198906,198909,198912,199003,199006,199009,199012,199103,199106,199109,199112,199203,199206,199209,199212,199303,199306,199309,199312,199403,199406,199409,199412,199503,199506,199509,199512,199603,199606,199609,199612,199703,199706,199709,199712,199803,199806,199809,199812,199903,199906,199909,199912,200003,200006,200009,200012,200103,200106,200109,200112,200203,200206,200209,200212,200303,200306,200309,200312,200403,200406,200409,200412,200503,200506,200509,200512,200603,200606,200609,200612,200703,200706,200709,200712,200803,200806,200809,200812,200903,200906,200909,200912,201003,201006,201009,201012,201103,201106,201109,201112,201203,201206,201209,201212,201303,201306,201309,201312,201403,201406,201409,201412,201503,201506,201509,201512,201603,201606,201609,201612,201703,201706,201709,201712,201803,201806
Revenue per Share,3.466,3.584,3.975,3.375,3.248,3.46,3.637,3.66,3.678,3.849,4.265,4.25,4.163,4.281,4.348,4.508,4.355,4.156,4.32,4.497,4.451,4.27,4.717,4.845,5.319,4.675,6.081,5.761,5.045,5.202,5.981,5.834,5.847,6.032,6.108,6.344,5.817,6.19,6.673,5.805,5.864,6.592,6.512,6.478,7.3,7.239,6.87,7.484,7.224,7.209,7.882,7.381,7.57,7.065,8.271,8.051,8.118,8.377,9.137,8.814,9.143,9.478,11.085,9.714,10.116,11.051,11.826,11.148,11.373,11.391,12.943,12.425,12.3,12.94,14.283,13.145,14.231,14.964,16.349,14.779,14.564,15.295,10.046,11.42,12.417,13.728,13.848,14.342,14.776,14.051,14.905,11.829,13.626,13.854,16.182,17.041,16.13,16.063,16.071,16.172,16.164,16.201,20.39,17.433,16.176,16.266,16.091,16.615,16.723,16.501,17.972,18.285,17.787,16.747,18.493,18.575,18.915,19.569,20.742,20.613
EBITDA per Share,3.466,3.584,-9.459,3.375,3.248,3.46,-8.613,0.15,3.678,0.104,0.098,0.186,0.196,0.09,0.117,0.166,0.104,0.098,0.086,0.109,4.451,0.083,0.099,0.129,5.319,0.149,0.132,0.16,0.13,5.202,-13.419,5.834,0.431,0.455,0.58,0.492,0.505,0.506,0.429,0.523,0.586,0.605,0.457,0.534,0.503,0.529,0.373,0.504,0.655,0.441,0.813,0.635,0.711,0.623,0.752,0.71,0.648,0.67,0.887,0.659,0.687,0.767,0.709,0.75,0.836,0.817,0.707,1.109,1.073,1.194,1.95,1.332,1.277,1.427,1.693,1.509,1.968,2.029,1.66,1.911,1.575,1.5,-0.61,0.968,1.365,1.998,1.559,2.452,2.025,1.799,1.656,1.111,1.476,1.348,1.805,2.327,1.764,1.596,1.578,2.075,2.018,2.259,2.11,2.15,1.77,2.002,1.294,2.01,1.756,1.702,0.554,2.416,2.369,2.045,1.833,2.581,2.102,2.618,1.992,2.807
EBIT per Share,3.466,3.584,-9.459,3.375,3.248,3.46,-8.613,0.15,3.678,0.104,0.098,0.186,0.196,0.09,0.117,0.166,0.104,0.098,0.086,0.109,4.451,0.083,0.099,0.129,5.319,0.149,0.132,0.16,0.13,5.202,-13.419,5.834,0.431,0.455,0.58,0.492,0.505,0.506,0.429,0.523,0.586,0.605,0.457,0.534,0.503,0.529,0.373,0.504,0.467,0.441,0.813,0.635,0.711,0.623,0.752,0.71,0.648,0.67,0.887,0.659,0.687,0.767,0.709,0.75,0.836,0.817,0.707,0.839,0.791,0.898,1.559,0.972,0.902,0.959,1.157,0.994,1.371,1.358,0.894,1.187,0.767,0.562,-1.655,0.053,0.419,1.055,0.594,1.569,1.104,0.889,0.531,0.22,0.571,0.435,0.645,1.384,0.777,0.613,0.593,0.999,0.942,1.182,2.075,1.35,1.009,1.253,0.512,1.288,0.994,0.937,-0.266,1.536,1.492,1.261,0.937,1.69,1.232,1.731,1.029,1.85
Earnings per Share (Diluted),0.008,0.013,0.349,0.027,0.063,0.08,0.084,0.077,0.08,0.063,0.053,0.079,0.084,0.044,0.043,0.067,0.042,0.033,0.018,0.03,0.015,0.03,0.035,0.115,0.078,0.067,0.06,0.073,0.061,0.094,0.134,0.217,0.231,0.28,0.266,0.278,0.272,0.26,0.279,0.285,0.305,0.333,0.287,0.311,0.306,0.317,0.263,0.307,0.278,0.217,0.272,0.375,0.366,0.331,0.422,0.447,0.37,0.487,0.499,0.447,0.623,0.735,0.364,0.555,0.617,0.778,0.488,0.55,0.65,0.612,1.017,0.685,0.597,0.677,0.818,0.745,1.002,0.983,2.971,0.894,0.635,0.122,-1.013,0.043,0.326,0.825,0.438,1.655,0.892,0.54,0.304,0.219,0.437,0.34,0.482,0.922,0.584,0.513,0.443,0.699,0.673,0.862,1.199,0.846,0.617,0.709,0.378,0.834,0.59,0.567,-0.459,0.92,0.965,0.808,0.471,1.037,0.872,2.82,0.579,1.252
EPS without NRI,0.008,0.013,0.349,0.027,0.063,0.08,0.084,0.077,0.08,0.063,0.053,0.079,0.084,0.044,0.043,0.067,0.042,0.033,0.018,0.03,0.015,0.03,0.035,0.115,0.078,0.067,0.06,0.073,0.061,0.094,0.134,0.217,0.231,0.28,0.266,0.278,0.272,0.26,0.279,0.285,0.305,0.333,0.287,0.311,0.306,0.317,0.263,0.307,0.278,0.217,0.272,0.375,0.366,0.331,0.422,0.447,0.37,0.487,0.499,0.447,0.623,0.735,0.364,0.555,0.617,0.778,0.488,0.55,0.65,0.612,1.017,0.685,0.597,0.677,0.818,0.745,1.002,0.983,2.971,0.894,0.635,0.122,-1.013,0.043,0.326,0.825,0.438,1.655,0.892,0.54,0.304,0.219,0.437,0.34,0.482,0.922,0.584,0.513,0.443,0.699,0.673,0.862,1.199,0.846,0.617,0.709,0.378,0.834,0.59,0.567,-0.459,0.92,0.965,0.808,0.471,1.037,0.872,2.82,0.579,1.252
Owner Earnings per Share (TTM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,1.05,0.25,1.53,1.96,1.87,1.61,1.73,1.4,2.14,1.46,2.85,3.1,2.5,1.28,-2.5,-2.39,0.48,2.46,4.68,5.04,3.93,3.05,1.95,0.96,0.94,-0.09,-0.82,-0.82,-2.66,-0.74,-1.37,-0.9,0.44,0.36,-2.16,-3.48,-4.5,-4.03,0.39,1.23,1.45,1.76,2.03,0.94,0.05,-0.37,-0.08,0.01,1.38,3.32,3.33,4.16
Free Cash Flow per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.442,-0.641,0.611,0.291,0.55,-1.01,1.593,-0.865,1.904,-2.94,4.661,0.786,0.098,-1.527,-4.721,0.677,3.932,-1.475,0.48,1.729,1.72,0.097,-3.918,0.884,1.571,-4.111,-0.595,-1.259,-1.389,-0.703,-0.805,-1.016,-0.496,-1.153,0.02,-0.468,0.153,0.005,0.888,0.749,0.499,0.095,1.096,0.003,0.502,-0.639,1.418,0.081,0.833,0.045,1.185,0.164
Operating Cash Flow per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0.953,-0.026,1.331,0.822,1.349,0.2,1.855,1.082,1.467,0.793,2.262,1.704,0.798,-0.656,0.042,2.317,3.435,1.412,2.058,2.052,2.263,0.551,2.229,1.391,2.109,0.102,1.706,1.278,0.998,1.387,1.569,1.736,2.054,1.067,-2.285,0.724,1.129,0.975,2.116,1.865,1.337,1.155,2.124,0.903,1.203,0.316,2.097,0.884,1.575,0.651,1.934,1.098
Dividends per Share,0.023,0,0.127,0,0.023,0,0.024,0,0.026,0,0.025,0,0.027,0,0.028,0,0.028,0,0.032,0,0.032,0,0.035,0,0.035,0,0.039,0,0.034,0,0.032,0,0.031,0,0.033,0,0.034,0,0.032,0,0.026,0,0.041,0,0.052,0,0.054,0,0.044,0,0.05,0,0.046,0,0.043,0,0.057,0,0.057,0,0.071,0,0.095,0,0.126,0,0.137,0,0.172,0,0.258,0,0.26,0.142,0.162,0.172,0.173,0.202,0.201,0.199,0.229,0.111,0.106,0.106,0.113,0.116,0.172,0.174,0.178,0.225,0.19,0.224,0.193,0.231,0.235,0.243,0.231,0.211,0.193,0.207,0.192,0.199,0.217,0.21,0.189,0.184,0.178,0.182,0.178,0.191,0.21,0.213,0.193,0.215,0,0.219,0.218,0.233,0.248,0
