Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Operating Income,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),  Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,  Net Income,  Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Forex Rate (USD/JPY),Insider Shares Owned,Institution Shares Held,Insider Ownership %,Institutional Ownership %,Price-to-Net-Current-Asset-Value,Price-to-Net-Net-Working-Capital,Price-to-Graham-Number,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (FCF Based),Price-to-Earnings-Power-Value,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Peter-Lynch-Fair-Value,Price-to-Median-PB-Value,Price-to-Median-PS-Value,Price-to-Net-Cash
198809,3.466,3.466,3.466,0.008,0.008,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,2.773,0,0,0,0,0,0,0,"6,572.15",0,"6,572.15",0,0,0,"6,572.15",0,0,0,"-6,572.15",0,0,0,0,182.247,0,0,0,0.008,0.008,"1,895.99",0,"6,572.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,74.52,37.35,74.52,0,"1,895.99","1,895.99",0,,,0,0,123.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198812,3.584,3.584,3.584,0.013,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,"6,794.81",0,"6,794.81",0,0,0,"6,794.81",0,0,0,"-6,794.81",0,0,0,0,198.287,0,0,0,0.013,0.013,"1,895.99",0,"6,794.81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,117.08,158.15,117.08,0,"1,895.99","1,895.99",0,,,0,0,123.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198903,3.975,-9.459,-9.459,0.349,0.349,0,0,0,0.127,3.656,3.656,2.668,0,0,0,0,"-2,154.14","-1,422.18",0,0,0,-237.94,0,0,0.73,0.395,0.288,343.23,0.858,0.363,0,0,0,0,0,0,0.242,"7,536.92",0,"7,536.92",0,0,"25,470.50","-17,933.58",0,0,0,"17,933.58",0,0,0,0,187.57,0,0,0,0.349,0.349,"1,895.99",0,"-17,933.58","1,901.72",0,"1,901.72",0,0,"3,092.19","3,092.19",0,0,0,0,"3,654.03","3,654.03","1,111.70","9,759.64",0,0,0,0,0,"12,590.96","12,590.96","-5,930.82","6,660.14",0,0,"1,147.33","17,567.11",0,0,0,0,0,"2,738.54",0,0,0,"5,315.69","8,054.23","2,319.02",0,"2,319.02",0,261.785,0,"10,635.03",0,0,"7,201.37",0,0,0,-269.297,"6,932.08",0,"6,932.08",0,0,187.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61,-0.46,-3.64,0,0,0,5.6,0,2.22,3,0,0,0,1.21,0.76,N/A,0,0,0,121.57,67.44,-102.98,0,"1,895.99","1,895.99",0,,,0,0,130.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198906,3.375,3.375,3.375,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,768.65,507.47,0,0,0,100,0,0,-,0,0,291.42,0.729,0,0,0,0,0,0,0,0.286,"6,399.19",0,"6,399.19",0,0,0,"6,399.19",0,0,0,"-6,399.19",0,0,0,0,105.777,0,0,0,0.027,0.027,"1,895.99",0,"6,399.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,-8.56,154.59,-8.56,0,"1,895.99","1,895.99",0,,,0,0,143.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198909,3.248,3.248,3.248,0.063,0.063,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0.374,0,0,0,0,0,0,0,"6,157.33",0,"6,157.33",0,0,0,"6,157.33",0,0,0,"-6,157.33",0,0,0,0,120.724,0,0,0,0.063,0.063,"1,895.99",0,"6,157.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,-6.29,669.82,-6.29,0,"1,895.99","1,895.99",0,,,0,0,145.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198912,3.46,3.46,3.46,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,"6,559.77",0,"6,559.77",0,0,0,"6,559.77",0,0,0,"-6,559.77",0,0,0,0,156.638,0,0,0,0.08,0.08,"1,895.99",0,"6,559.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,-3.46,531.23,-3.46,0,"1,895.99","1,895.99",0,,,0,0,143.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199003,3.637,-8.613,-8.613,0.084,0.084,0,0,0,0.024,3.637,3.637,3.102,0,0,0,0,"-1,909.29","-1,156.45",0,0,0,-236.83,0,0,0.853,0.381,0.325,305.05,0.763,0.281,0,0,0,0,0,0,0.268,"7,030.29",0,"7,030.29",0,0,"23,679.99","-16,649.70",0,0,0,"16,649.70",0,0,0,0,169.78,0,0,0,0.084,0.084,"1,933.18",0,"-16,649.70","1,511.28",0,"1,511.28",0,0,"3,660.25","3,660.25",0,0,0,0,"3,762.82","3,762.82","1,048.59","9,982.94",0,0,0,0,0,"12,965.00","12,965.00","-5,988.72","6,976.28",0,0,"1,477.85","18,437.07","2,918.46",0,0,0,"2,918.46","3,535.32",0,0,0,"2,183.64","8,637.42","2,461.91",0,"2,461.91",0,305.867,0,"11,405.20",0,0,"6,505.47",0,0,0,526.395,"7,031.87",0,"7,031.87",0,0,169.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.12,-0.74,-4.14,0,0,0,4.56,0,1.94,1,0,0,0,1.16,0.72,N/A,0,0,-1.96,-8.5,-75.92,8.94,0,"1,933.18","1,933.18",0,,,0,"40,644.00",153.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199006,3.66,0.15,0.15,0.077,0.077,0,0,0,0,3.698,3.698,2.798,0,8.64,0,3.39,17.11,5.43,0,0,26.16,4.09,2.1,0,0.757,0.404,0.306,42.32,0.404,0,0,45.14,61.15,16.01,1.49,0.74,0.495,"7,311.45","5,398.75","1,912.70","1,613.64",0,0,299.061,0,0,0,-5.446,0,293.615,-140.321,47.79,153.294,0,153.294,0,0.077,0.077,"1,997.42",0,299.061,"1,104.25",0,"1,104.25",0,0,"3,362.56","3,362.56",0,0,0,0,"3,472.87","3,472.87","1,104.45","9,044.13",0,0,0,0,0,"13,274.06","13,274.06","-6,267.41","7,006.65",0,0,"1,672.56","17,723.34","2,670.66",0,0,0,"2,670.66","2,905.85",0,0,0,"2,143.44","7,719.94","2,517.07",0,"2,517.07",0,319.065,0,"10,556.07",0,0,"6,638.86",0,0,0,528.407,"7,167.27",0,"7,167.27",153.294,0,153.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88,-0.78,-3.98,0,0,0,5.02,0,2.15,0,0,0.623,0.86,1.17,0.72,N/A,0,0,-0.26,8.44,179.12,-95.56,0,"1,997.42","1,938.20",0,,,0,0,153.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199009,3.678,3.678,3.678,0.08,0.08,0,0,0,0.026,0,0,0,0,0,0,0,838.88,511.74,0,0,0,100,0,0,-,0,0,331.64,0.829,0.331,0,0,0,0,0,0,0.236,"7,347.20",0,"7,347.20",0,0,0,"7,347.20",0,0,0,"-7,347.20",0,0,0,0,158.125,0,0,0,0.08,0.08,"1,997.42",0,"7,347.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,13.24,27.72,13.24,0,"1,997.42","1,938.20",0,,,0,0,138.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199012,3.849,0.104,0.104,0.063,0.063,0,0,0,0,4.088,4.088,3.35,0,12.62,0,5.05,19.9,7,0,0,26.82,2.71,1.65,0,0.819,0.401,0.328,82.34,0.768,0,0,47.02,34.51,-12.51,2.64,0.73,0.277,"7,592.83","5,556.68","2,036.15","1,830.30",0,0,205.844,0,0,0,16.622,0,222.466,-97.5,43.83,124.966,0,124.966,0,0.063,0.063,"1,972.80",0,205.844,"1,200.40",0,"1,200.40",0,0,"3,479.39","3,479.39",0,0,0,0,"4,203.34","4,203.34","1,269.73","10,152.86",0,0,0,0,0,"15,335.96","15,335.96","-7,538.00","7,797.96",0,0,"1,831.52","19,782.33","2,863.58",0,0,0,"2,863.58","3,788.20",0,0,0,"2,130.40","8,782.18","2,704.96",0,"2,704.96",0,371.858,0,"11,859.00",0,0,"7,840.12",0,0,0,83.209,"7,923.33",0,"7,923.33",124.966,0,124.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5,-0.88,-4.41,0,0,0,5.29,0,2.33,0,0,0,1.41,1.16,0.68,N/A,0,0,0,11.24,-20.84,-96.99,0,"1,972.80","1,938.20",0,,,0,0,133.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
