Downloaded from http://www.GuruFocus.com on 2018-11-3 at 13:13(CST), Saturday
Filename: NYSE:F.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NYSE:F,Ford Motor Co,USA,Consumer Cyclical,Autos,Auto ManufacturersAuto Manufacturers,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","9.38"
"Market Cap (Million)","37312.734"
"Shares Outstanding (Million)","3977.90"
"PE Ratio","5.55"
"PB Ratio","1.01"
"PS Ratio","0.23"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","-4.90","2.90","4.00"
"EBITDA  Growth (%)","-3.70","3.60","17.70"
"Free Cash Flow Growth (%)","0.00","31.60","-15.50"
"Book Value Growth (%)","0.00","0.00","9.70"

30 Year Financials of NYSE:F - Ford Motor Co

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","198812","198912","199012","199112","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","TTM/current",",","198812","198903","198906","198909","198912","199003","199006","199009","199012","199103","199106","199109","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809"
"Revenue per Share","94.361","101.787","104.451","92.546","65.574","70.058","80.947","75.719","77.740","79.418","115.708","129.831","113.306","88.189","89.202","86.762","90.755","94.558","85.186","87.142","63.842","35.110","30.865","32.986","33.265","35.947","36.401","37.371","37.959","39.214","40.077","","32.175","26.351","27.312","21.355","25.531","25.643","28.939","22.603","24.176","22.683","25.800","22.425","22.979","24.591","27.783","25.892","25.948","26.228","27.620","25.062","26.374","30.329","29.672","27.362","29.986","23.156","22.269","18.341","20.029","21.022","31.363","27.878","22.093","20.596","32.967","29.864","22.286","20.407","29.963","26.191","29.734","30.351","34.601","30.227","35.253","22.326","22.964","24.290","21.942","23.220","23.262","20.145","21.669","22.057","21.651","21.602","22.059","20.499","21.457","20.067","24.439","21.537","21.878","21.389","25.974","22.345","22.133","21.802","25.076","21.785","22.458","19.805","23.351","22.875","18.287","20.508","20.751","19.607","18.374","13.930","12.138","10.175","7.998","8.439","9.480","6.909","7.607","7.162","7.555","7.762","8.661","8.198","8.391","8.001","8.274","8.100","8.913","8.755","9.286","8.734","9.186","8.763","9.151","8.708","9.190","8.473","9.299","9.538","10.058","9.439","9.879","8.986","9.651","9.789","9.973","9.122","10.321","10.498","9.732","9.526"
"EBITDA per Share","16.235","19.277","14.681","12.330","4.904","7.926","11.877","10.516","10.725","13.188","31.462","20.803","22.432","12.516","13.228","11.761","13.495","5.064","-3.348","10.277","3.735","4.822","3.480","3.346","3.400","5.320","2.389","4.745","4.103","4.436","1.855","","-48.295","26.351","27.312","21.355","-61.352","4.142","4.632","3.196","2.401","1.651","2.414","2.067","6.305","3.224","3.606","2.197","-1.221","3.395","3.519","3.001","2.021","4.712","5.035","4.503","2.988","4.412","4.019","2.851","0.805","3.037","5.554","4.312","1.762","3.775","6.170","5.116","2.876","3.918","5.991","4.346","15.403","5.373","6.062","4.689","4.793","3.844","3.552","3.825","3.372","2.105","2.428","2.488","-1.294","1.426","2.899","0.982","5.056","1.687","1.234","1.055","0.348","2.166","1.610","1.173","1.568","0.862","0.857","0.470","1.744","-0.270","0.576","-2.364","-1.878","1.206","1.235","1.394","-0.825","1.296","-2.958","0.982","-1.421","0.108","1.169","0.795","0.419","0.840","0.972","0.804","-0.634","0.926","0.910","0.730","-0.279","0.548","0.444","0.615","0.474","0.572","0.496","0.560","2.090","0.358","0.569","0.305","-0.765","0.486","0.867","0.874","0.527","0.964","0.772","0.406","-0.218","0.636","0.640","0.518","0.527","0.552","0.413","0.363"
"EBIT per Share","13.726","14.800","11.274","6.273","0.480","3.105","5.994","4.046","3.960","6.062","20.240","9.052","11.805","1.916","4.938","4.229","6.609","5.064","-3.348","3.629","-1.745","2.835","2.144","2.310","2.080","3.719","0.513","2.755","1.923","2.321","1.855","","-48.295","26.351","27.312","21.355","-61.352","3.978","4.353","2.945","-0.118","1.262","2.022","1.674","1.413","2.759","3.108","1.604","-6.609","2.734","2.856","2.154","-2.963","3.811","3.984","3.261","-2.223","3.400","3.040","1.850","-3.185","2.057","4.169","2.861","-2.594","2.771","4.718","3.452","-1.718","2.781","4.257","2.564","9.359","3.629","4.088","2.797","-1.356","2.695","2.315","2.354","2.148","0.727","0.958","1.009","-2.521","-0.049","1.546","-0.407","5.056","0.405","1.234","1.055","0.348","2.166","1.610","1.173","1.568","0.862","0.857","0.470","1.744","-0.270","0.576","-2.364","-1.878","1.206","1.235","1.394","-0.825","1.296","-2.958","0.982","-1.421","0.108","1.169","0.795","0.419","0.840","0.972","0.804","-0.634","0.926","0.910","0.730","-0.279","0.548","0.444","0.615","0.474","0.572","0.496","0.560","2.090","0.358","0.569","0.305","-0.765","0.486","0.867","0.874","0.527","0.964","0.772","0.406","-0.218","0.636","0.640","0.518","0.527","0.552","0.413","0.363"
"Earnings per Share (Diluted)","5.410","4.060","0.920","-2.390","-4.971","1.337","2.826","2.120","2.317","3.577","17.760","5.860","2.300","-3.020","0.470","0.130","1.520","0.770","-6.730","-1.400","-6.500","0.860","1.660","4.940","1.410","2.940","0.310","1.840","1.150","1.900","1.690","","1.150","1.720","1.510","0.520","0.300","0.550","0.830","0.100","-0.590","-0.940","-0.350","-0.610","-0.520","0.290","0.470","-0.230","-5.521","0.490","0.660","0.400","-0.173","0.830","1.440","0.940","-0.336","1.280","1.300","0.280","-0.861","0.540","1.560","0.550","-0.346","1.200","2.060","0.920","-0.603","14.230","1.910","0.800","0.870","1.610","1.890","0.900","1.470","1.082","-0.306","0.530","0.570","0.560","-0.420","-0.390","-2.800","-0.450","0.290","-0.180","0.940","0.450","0.220","-0.010","-0.570","0.940","0.570","0.150","-0.190","0.600","0.470","-0.310","-0.040","-0.760","-0.170","-2.790","-3.000","-0.150","0.310","-0.190","-1.450","0.030","-3.890","-0.070","-2.560","-0.600","0.690","0.290","0.250","0.500","0.610","0.430","0.030","0.610","0.590","0.410","3.320","0.350","0.260","0.410","0.390","0.400","0.300","0.310","1.920","0.240","0.320","0.210","-0.490","0.290","0.540","0.550","0.460","0.610","0.490","0.240","-0.200","0.400","0.510","0.390","0.600","0.430","0.270","0.000"
"EPS without NRI","5.410","4.060","0.920","-2.390","-4.971","1.337","2.826","2.120","2.317","3.577","17.190","5.260","3.660","-2.930","1.140","0.340","1.590","0.860","-6.720","-1.380","-6.500","0.860","1.660","4.940","1.410","2.940","0.310","1.840","1.150","1.900","1.690","","1.150","1.720","1.510","0.520","0.300","0.550","0.830","0.100","-0.590","-0.940","-0.350","-0.610","-0.520","0.290","0.470","-0.230","-5.521","0.490","0.660","0.400","-0.173","0.830","1.440","0.940","-0.336","1.280","1.300","0.280","-0.861","0.540","1.560","0.550","-0.346","1.200","2.060","0.920","-0.603","1.280","1.910","0.800","13.190","1.440","1.660","0.780","1.390","1.006","0.789","0.530","0.520","0.560","-0.420","-0.390","-2.710","-0.050","0.290","-0.140","1.060","0.450","0.220","0.130","-0.530","0.950","0.570","0.240","-0.210","0.580","0.470","-0.310","0.080","-0.760","-0.170","-2.790","-2.980","-0.150","0.300","-0.190","-1.410","0.030","-3.890","-0.070","-2.560","-0.600","0.690","0.290","0.250","0.500","0.610","0.430","0.030","0.610","0.590","0.410","3.320","0.350","0.260","0.410","0.390","0.400","0.300","0.310","1.920","0.240","0.320","0.210","-0.490","0.290","0.540","0.550","0.460","0.610","0.490","0.240","-0.200","0.400","0.510","0.390","0.600","0.430","0.270","0.000"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","-14.817","-14.083","-1.119","3.730","5.577","5.862","7.373","22.503","11.149","2.744","-1.367","-0.114","-2.370","-1.903","-4.243","-5.066","-2.251","-8.851","-0.698","0.506","4.027","0.408","1.991","-0.921","0.229","-0.823","-0.122","-0.547","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-14.817","-11.152","-9.185","-8.333","-14.083","-12.386","-10.878","-10.582","-1.119","-0.235","1.342","2.484","3.730","3.583","3.161","2.923","5.577","5.143","7.212","7.635","5.862","6.243","9.514","9.971","7.373","16.334","23.740","23.726","22.503","9.977","10.454","10.204","11.149","7.324","5.982","6.760","2.744","2.529","2.828","1.786","-1.367","-2.389","-1.645","-1.523","-0.114","0.840","-0.701","-2.128","-2.370","-1.595","2.006","6.396","-1.903","-1.483","-0.803","-2.360","-4.243","-6.985","-6.707","-11.982","-5.066","-3.939","-5.233","-3.887","-2.251","-2.585","-8.318","-7.889","-8.851","-9.334","-3.404","-2.750","-0.698","0.229","0.371","0.727","0.506","0.667","0.676","0.714","4.027","3.708","3.408","3.453","0.408","0.455","0.523","0.442","1.991","1.816","1.780","1.621","-0.921","-0.894","-0.803","-0.678","0.229","0.519","0.362","-0.137","-0.823","-1.065","-1.063","-0.927","-0.122","-0.094","-0.376","-0.547"
"Free Cash Flow per Share","-81.440","-131.315","-25.472","2.383","3.749","4.644","4.512","5.916","4.679","9.779","9.832","14.540","16.934","8.147","1.446","4.244","6.883","6.911","1.470","5.585","-3.025","3.447","1.768","1.336","0.886","0.941","1.780","2.256","3.215","2.763","2.267","","0.000","0.000","0.000","0.000","0.000","-0.157","0.762","-0.359","-23.996","0.065","1.569","-0.091","0.886","3.653","3.031","-2.132","1.092","3.308","2.441","0.878","0.341","2.451","4.840","0.663","-1.381","6.224","-0.394","1.794","-0.616","2.384","2.133","1.855","-0.060","1.689","2.508","5.638","3.386","2.608","5.111","1.468","-0.554","3.270","5.188","1.436","4.730","3.682","4.455","4.253","1.387","1.997","3.958","3.090","-0.895","1.768","2.325","2.089","-4.853","3.154","2.116","1.013","-2.167","1.229","3.664","2.875","-1.095","1.839","3.502","0.505","0.663","-0.998","4.374","2.908","-5.198","-0.166","1.202","3.219","0.945","-0.197","-0.238","-0.280","-2.207","1.229","1.305","1.330","-0.183","0.353","0.611","0.686","0.022","0.368","0.643","0.665","-0.345","0.242","0.676","0.531","-0.560","-0.312","1.098","0.551","-0.397","0.172","0.694","0.870","0.004","0.153","1.021","2.181","0.077","0.660","2.159","3.021","0.179","0.658","1.015","0.832","0.258","0.434","0.766","0.809"
"Operating Cash Flow per Share","10.650","10.083","7.930","8.512","7.541","9.043","10.480","11.689","10.185","14.286","17.537","22.135","22.496","11.967","6.454","9.123","11.586","10.930","5.115","8.628","-0.079","4.673","2.747","2.380","2.253","2.555","3.665","4.054","4.964","4.526","4.218","","0.000","0.000","0.000","0.000","0.000","1.599","2.634","1.471","1.999","1.554","2.907","1.545","2.630","4.908","4.323","-0.467","2.918","4.571","4.077","2.664","2.270","4.147","6.510","2.876","1.643","7.687","1.927","2.048","1.720","3.487","5.284","2.316","2.293","2.678","4.155","7.911","4.624","4.237","6.076","3.117","2.166","4.309","6.598","4.669","6.670","4.622","5.285","5.486","2.880","2.811","4.688","5.005","-0.527","3.158","3.666","2.974","-3.566","3.905","3.190","3.079","-1.150","2.344","3.901","4.032","1.202","2.612","4.501","2.697","0.593","-0.016","5.214","3.889","-4.268","0.523","1.756","4.006","1.795","0.478","0.494","0.486","-1.444","1.675","1.596","1.593","0.108","0.587","0.819","0.906","0.289","0.585","0.909","0.941","-0.058","0.512","0.973","0.863","-0.090","0.052","1.488","0.938","0.077","0.542","1.162","1.339","0.555","0.603","1.902","3.520","0.537","1.038","2.961","4.249","0.699","1.084","1.405","1.251","0.786","0.879","1.243","1.310"
"Dividends per Share","1.150","1.500","1.500","0.975","0.800","0.800","0.910","0.783","0.936","1.047","1.095","1.197","1.255","1.050","0.400","0.400","0.400","0.400","0.250","0.000","0.000","0.000","0.000","0.000","0.200","0.400","0.500","0.600","0.600","0.600","0.450","","0.300","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.200","0.225","0.225","0.260","0.166","0.197","0.197","0.223","0.223","0.223","0.245","0.245","0.245","0.267","0.267","0.267","0.267","0.267","0.267","0.293","0.293","0.293","0.293","0.318","0.318","0.318","0.318","0.300","0.300","0.300","0.300","0.150","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.100","0.050","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.050","0.050","0.050","0.050","0.100","0.100","0.100","0.100","0.125","0.125","0.125","0.125","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.150","0.000"
