Downloaded from http://www.GuruFocus.com on 2018-11-3 at 13:14(CST), Saturday
Filename: NYSE:GM.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NYSE:GM,General Motors Co,USA,Consumer Cyclical,Autos,Auto ManufacturersAuto Manufacturers,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","36.03"
"Market Cap (Million)","50852.873"
"Shares Outstanding (Million)","1411.40"
"PE Ratio","0.00"
"PB Ratio","1.33"
"PS Ratio","0.35"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","0.90","5.40"
"EBITDA  Growth (%)","0.00","20.10","8.40"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","0.00","0.00","-9.90"

30 Year Financials of NYSE:GM - General Motors Co

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","198812","198912","199012","199112","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","TTM/current",",","198809","198812","198903","198906","198909","198912","199003","199006","199009","199012","199103","199106","199109","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","257.304","113.069","83.493","90.094","90.899","92.737","92.430","82.759","95.022","97.579","99.838","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","36.712","37.720","43.836","20.357","19.821","63.552","22.707","24.586","19.920","23.805","21.831","22.776","22.316","22.510","22.595","23.467","24.475","23.301","23.190","23.984","22.122","23.489","23.214","23.610","21.181","23.000","24.007","14.414","23.585","23.645","24.707","25.806","24.325","24.348","22.842","26.064","25.244","25.688"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-28.917","129.729","8.476","10.278","6.302","9.447","7.046","9.927","14.261","16.554","16.280","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-7.907","-16.866","209.151","-2.544","1.032","3.471","1.407","0.849","0.855","1.662","1.143","2.094","0.741","1.173","1.155","-19.904","1.118","1.306","1.554","0.773","0.094","0.079","1.162","1.426","1.960","2.407","2.224","3.375","3.107","3.836","3.995","3.261","4.153","4.143","3.891","4.364","3.711","4.314"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-46.539","117.422","4.209","5.826","-16.839","4.649","2.756","5.362","8.007","8.336","7.256","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-7.907","-16.866","209.151","-2.544","1.032","3.471","1.407","0.849","0.855","1.662","1.143","2.094","0.741","1.173","1.155","-19.904","1.118","1.306","1.554","0.773","0.094","0.079","1.162","1.426","0.918","1.099","1.000","2.385","1.656","2.381","2.385","1.519","2.363","2.040","1.753","2.169","1.207","2.127"
"Earnings per Share (Diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-53.470","113.180","2.890","4.580","2.920","2.380","1.650","5.910","6.000","-2.650","-3.200","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-53.421","-9.780","0.000","0.000","113.180","0.000","0.850","0.000","0.340","1.770","1.540","1.030","0.270","0.600","0.900","0.890","0.540","0.580","0.750","0.450","0.560","0.060","0.110","0.810","0.660","0.560","0.670","0.840","3.840","1.240","1.810","1.760","1.190","1.700","1.090","-2.060","-3.520","0.720","1.660"
"EPS without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-53.470","113.180","2.890","4.580","2.920","2.380","1.650","5.890","6.000","0.220","-0.780","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-53.420","-9.780","0.000","0.000","113.180","0.000","0.850","0.000","0.340","1.770","1.540","1.030","0.270","0.600","0.900","0.890","0.540","0.580","0.750","0.450","0.560","0.060","0.110","0.810","0.660","0.560","0.670","0.840","3.820","1.240","1.740","1.760","1.270","1.750","1.600","0.080","-3.290","0.770","1.660"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","-0.767","-2.314","1.610","5.075","-0.872","-2.695","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.633","-0.767","-1.431","-2.204","-2.555","-2.314","-2.157","-0.200","0.607","1.610","2.452","2.302","4.323","5.075","4.820","3.495","-1.923","-0.872","-2.347","-2.695"
"Free Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-33.843","-24.452","1.581","0.647","0.888","1.677","-1.071","-6.183","-7.180","-6.907","-8.111","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-17.931","-11.889","-2.491","-1.811","0.636","5.429","0.909","-1.760","-1.111","2.296","0.176","-0.597","0.119","0.940","0.728","-0.893","-1.061","1.403","0.777","0.445","-0.238","0.582","-1.149","-0.263","-2.112","-0.163","-1.891","-2.037","-4.749","-0.414","-0.199","-1.811","-2.883","-1.379","-2.861","0.288","-4.420","-1.118"
"Operating Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-20.838","-18.637","4.175","4.896","6.331","7.536","5.964","7.176","10.578","11.614","10.597","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-15.368","-9.322","-0.422","-1.193","1.165","7.366","1.749","-1.026","-0.207","3.062","1.211","0.865","1.477","2.359","2.034","0.466","0.543","2.918","2.296","1.812","1.169","2.269","0.643","1.887","0.222","3.486","2.044","1.442","-0.068","3.875","4.174","2.599","1.332","3.633","1.957","4.760","0.313","3.567"
"Dividends per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","1.200","1.380","1.520","1.520","1.520","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.300","0.300","0.300","0.300","0.300","0.360","0.360","0.360","0.380","0.380","0.380","0.380","0.380","0.380","0.380","0.380","0.380","0.380"
"Book Value per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-147.772","22.972","17.191","17.721","18.921","26.332","22.161","26.581","29.224","25.001","25.644","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-147.772","0.000","0.000","0.000","13.381","14.004","15.343","15.165","17.191","17.816","19.679","21.960","17.721","18.434","19.355","19.967","18.921","19.426","19.988","20.581","26.332","24.446","24.303","24.933","22.161","22.706","22.188","21.649","26.581","27.288","27.269","29.813","29.224","30.648","30.347","30.174","24.954","24.499","25.644"
"Tangible Book per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-148.230","-25.914","-11.913","-7.224","12.494","21.513","18.154","22.616","25.125","20.823","21.590","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-148.230","0.000","0.000","0.000","-15.094","-13.815","-13.327","-13.509","-11.913","-8.776","-6.662","-3.853","-7.224","-5.911","-4.654","-3.860","12.494","13.022","13.851","14.641","21.513","20.068","20.058","20.781","18.154","18.770","18.286","17.847","22.616","23.361","23.248","25.577","25.125","26.519","26.355","25.992","20.784","20.363","21.590"
"Total Debt per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79.340","17.063","7.171","8.215","11.746","24.122","29.166","42.074","50.082","67.299","69.643","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79.340","0.000","0.000","0.000","9.939","8.926","5.441","5.711","7.171","7.999","7.699","7.457","8.215","9.084","9.447","10.634","11.746","13.160","19.106","22.945","24.122","23.604","25.048","25.691","29.166","30.161","33.786","35.877","42.074","47.433","47.075","52.733","50.082","60.601","59.393","66.195","67.173","70.584","69.643"
"Month End Stock Price","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","36.860","20.270","28.830","40.870","34.910","34.010","34.840","40.990","36.590","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","36.860","31.030","30.360","20.180","20.270","25.650","19.720","22.750","28.830","27.820","33.310","35.970","40.870","34.420","36.300","31.940","34.910","37.500","33.330","30.020","34.010","31.430","28.300","31.770","34.840","35.360","34.930","40.380","40.990","36.340","39.400"
