Downloaded from http://www.GuruFocus.com on 2018-11-3 at 13:17(CST), Saturday
Filename: NYSE:TM.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NYSE:TM,Toyota Motor Corp,Japan,Consumer Cyclical,Autos,Auto ManufacturersAuto Manufacturers,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","115.46"
"Market Cap (Million)","169936.127"
"Shares Outstanding (Million)","1458.18"
"PE Ratio","7.53"
"PB Ratio","1.01"
"PS Ratio","0.65"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","4.10","6.10","8.00"
"EBITDA  Growth (%)","11.50","9.90","19.90"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","7.10","7.10","9.20"

30 Year Financials of NYSE:TM - Toyota Motor Corp

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","198906","199006","199106","199206","199306","199406","199503","199603","199703","199803","199903","200003","200103","200203","200303","200403","200503","200603","200703","200803","200903","201003","201103","201203","201303","201403","201503","201603","201703","201803","TTM/current",",","198806","198809","198812","198903","198906","198909","198912","199003","199006","199009","199012","199103","199106","199109","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806"
"Revenue per Share","32.192","34.037","36.501","41.535","49.431","48.587","47.584","52.288","51.819","49.637","55.811","61.693","58.913","59.617","72.146","92.766","106.770","110.451","126.910","164.169","133.622","133.230","148.366","143.376","147.020","158.343","143.152","159.944","159.959","185.018","181.486","","-","8.743","8.189","8.195","9.995","8.410","8.745","8.967","8.004","9.529","9.675","10.211","9.124","10.559","10.423","10.683","8.463","12.540","12.901","12.585","9.769","12.710","12.848","12.352","10.605","16.635","16.509","13.568","13.271","13.699","15.129","12.788","12.860","12.919","15.579","13.408","12.811","11.921","14.285","11.769","12.095","14.442","15.666","13.636","15.350","16.633","15.389","15.579","15.801","13.092","17.408","15.536","15.376","13.704","15.885","16.377","17.288","19.036","20.285","25.688","19.891","28.348","22.054","24.734","23.284","27.213","31.561","25.373","24.731","27.679","30.328","30.546","30.686","32.523","33.661","33.126","35.302","37.526","41.069","36.911","35.708","33.555","23.058","25.323","31.733","37.527","37.123","34.216","36.339","35.764","36.262","27.288","37.996","39.888","43.672","43.807","43.702","40.087","38.882","40.585","39.938","40.142","40.483","39.490","38.608","38.009","37.565","35.878","37.215","38.349","39.743","40.553","41.580","40.053","43.555","42.048","43.023","45.044","48.165","45.254"
"EBITDA per Share","3.062","3.637","3.271","2.822","3.224","3.094","3.434","4.379","5.393","6.746","7.063","7.387","7.065","7.926","9.970","14.144","15.366","16.221","19.191","24.820","6.389","12.229","13.812","11.755","16.870","22.875","22.732","26.155","22.223","27.596","27.660","","-","8.743","8.189","8.195","-20.409","8.410","8.745","8.967","-25.065","9.529","9.675","10.211","-24.391","10.559","10.423","10.683","-31.378","12.540","12.901","12.585","-40.219","12.710","12.848","12.352","-37.268","16.635","16.509","13.568","13.271","13.699","-37.597","12.788","12.860","12.919","-34.044","13.408","12.811","11.921","-39.236","11.769","12.095","14.442","-36.889","13.636","0.894","16.633","-42.911","15.579","1.824","13.092","-38.088","15.536","1.167","13.704","-42.174","16.377","1.556","1.725","1.138","2.139","1.857","2.596","2.335","2.460","2.151","2.478","2.543","2.063","2.012","2.502","3.093","2.776","3.056","3.041","3.033","3.430","3.246","3.364","3.812","4.876","3.490","0.681","-3.396","1.353","3.058","4.199","3.547","3.955","3.254","3.298","2.684","1.436","2.914","3.869","3.980","5.370","5.221","3.191","5.249","6.595","5.925","6.118","4.680","6.746","6.332","6.484","4.932","6.322","6.540","6.438","5.318","6.550","5.712","5.675","5.125","6.470","6.117","7.131","6.847","7.565"
"EBIT per Share","1.878","2.381","1.851","0.893","0.881","0.707","1.498","1.698","2.814","3.521","3.283","3.393","3.546","4.554","5.918","8.941","9.624","9.862","11.864","15.508","-3.342","2.284","4.629","3.517","9.506","15.166","15.326","16.999","12.886","16.676","16.983","","-","8.743","8.189","8.195","-20.409","8.410","8.745","8.967","-25.065","9.529","9.675","10.211","-24.391","10.559","10.423","10.683","-31.378","12.540","12.901","12.585","-40.219","12.710","12.848","12.352","-37.268","16.635","16.509","13.568","13.271","13.699","-37.597","12.788","12.860","12.919","-34.044","13.408","12.811","11.921","-39.236","11.769","12.095","14.442","-36.889","13.636","0.894","16.633","-42.911","15.579","0.818","13.092","-38.088","15.536","1.167","13.704","-42.174","16.377","1.556","1.725","1.138","2.139","1.857","2.596","2.335","2.460","2.151","2.478","2.543","2.063","2.012","2.502","3.093","2.776","3.056","3.041","3.033","3.430","3.246","3.364","3.812","2.776","1.171","-1.887","-5.912","-0.856","0.600","1.646","0.960","1.897","1.045","1.042","0.375","-0.596","0.710","1.653","1.867","3.354","3.121","1.036","3.210","4.728","3.970","4.173","2.606","4.794","4.376","4.526","2.867","4.363","4.428","4.114","3.059","4.197","3.244","3.370","2.572","4.079","3.505","4.486","3.969","5.023"
"Earnings per Share (Diluted)","1.390","1.634","1.598","0.972","0.854","0.653","0.773","1.254","1.633","1.856","1.974","2.339","2.992","2.330","3.543","6.332","6.768","7.173","8.710","10.728","-2.844","1.473","3.188","2.188","6.411","11.236","11.423","13.023","10.614","15.706","15.442","","-","0.368","0.355","0.355","0.433","0.394","0.410","0.421","0.376","0.309","0.314","0.514","0.467","0.247","0.244","0.250","0.197","0.108","0.111","0.108","0.501","0.171","0.173","0.166","0.143","0.270","0.268","0.161","0.157","0.162","0.796","0.403","0.405","0.407","0.490","0.522","0.498","0.464","0.468","0.366","0.376","0.360","0.810","0.442","0.497","0.708","0.694","0.730","0.739","0.746","0.927","0.530","0.524","0.970","0.341","0.931","0.985","0.770","0.701","1.397","1.340","1.851","1.767","1.575","1.594","1.738","1.954","1.504","1.676","2.066","2.095","2.012","2.150","2.269","2.325","2.509","2.459","2.578","1.983","2.100","0.835","-1.150","-4.983","-0.514","0.153","1.086","0.789","1.338","0.746","0.717","0.198","0.009","0.668","0.664","0.931","2.312","2.085","0.753","2.092","3.647","2.787","3.203","1.830","3.632","3.175","3.181","2.359","3.319","3.205","3.281","2.445","3.400","2.526","2.751","2.336","3.658","2.760","5.578","3.064","4.040"
"EPS without NRI","1.390","1.634","1.598","0.972","0.854","0.653","0.773","1.254","1.633","1.856","1.974","2.339","2.992","2.330","3.543","6.332","6.768","7.173","8.710","10.728","-2.844","1.473","3.188","2.188","6.411","11.236","11.423","13.023","10.614","15.706","15.442","","-","0.368","0.355","0.355","0.433","0.394","0.410","0.421","0.376","0.309","0.314","0.514","0.467","0.247","0.244","0.250","0.197","0.108","0.111","0.108","0.501","0.171","0.173","0.166","0.143","0.270","0.268","0.161","0.157","0.162","0.796","0.403","0.405","0.407","0.490","0.522","0.498","0.464","0.468","0.366","0.376","0.360","0.810","0.442","0.497","0.708","0.694","0.730","0.739","0.746","0.927","0.530","0.524","0.970","0.341","0.931","0.985","0.770","0.701","1.397","1.340","1.851","1.767","1.575","1.594","1.738","1.954","1.504","1.676","2.066","2.095","2.012","2.150","2.269","2.325","2.509","2.459","2.578","1.983","2.100","0.835","-1.150","-4.983","-0.514","0.153","1.086","0.789","1.338","0.746","0.717","0.198","0.009","0.668","0.664","0.931","2.312","2.085","0.753","2.092","3.647","2.787","3.203","1.830","3.632","3.175","3.181","2.359","3.319","3.205","3.281","2.445","3.400","2.526","2.751","2.336","3.658","2.760","5.578","3.064","4.040"
"Owner Earnings per Share (TTM)","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-8.460","6.090","4.380","-0.180","6.510","12.970","9.060","11.310","3.710","8.090","5.560","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-3.110","-2.450","-7.650","-8.460","-9.770","-5.550","2.720","6.090","8.160","5.310","3.470","4.380","1.000","-1.390","-0.630","-0.180","2.600","5.660","6.510","6.510","8.520","11.320","12.080","12.970","11.720","9.030","7.150","9.060","9.470","9.310","10.890","11.310","12.130","9.090","4.440","3.710","2.860","5.900","7.130","8.090","5.560"
"Free Cash Flow per Share","0.000","1.941","-0.596","-1.804","-1.228","1.514","0.830","2.125","3.641","-1.949","-0.168","-1.349","1.017","-0.067","2.210","4.261","2.577","-1.343","2.133","1.466","-5.519","7.880","2.600","-0.614","3.179","5.962","1.725","2.262","-0.737","3.850","1.410","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.533","-0.497","-6.145","-0.935","1.125","4.924","0.994","0.743","2.207","0.135","-1.178","1.209","-0.425","-1.235","-0.372","1.287","2.099","1.078","0.050","0.490","2.505","1.743","0.770","1.115","0.490","0.085","-0.686","1.920","0.337","-0.851","0.596","2.191","1.343","-2.790","-1.313","1.883","1.142","0.451","-0.259","2.470","-1.252"
"Operating Cash Flow per Share","0.000","3.889","2.583","2.116","2.449","3.226","2.486","4.424","6.453","4.336","7.406","5.338","6.404","6.382","9.704","12.246","13.646","13.207","17.161","18.619","9.613","17.987","15.810","11.206","16.334","22.471","19.373","25.120","19.790","26.513","24.382","","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.540","3.472","-2.701","2.280","3.690","7.050","3.427","3.566","5.387","3.468","1.599","4.603","2.509","1.437","2.307","5.221","5.595","4.339","3.819","4.697","6.678","5.962","4.632","5.663","5.411","4.569","3.638","7.114","5.768","4.370","5.791","7.952","7.251","2.541","3.318","7.332","6.347","5.868","4.771","8.678","5.065"
"Dividends per Share","0.147","0.142","0.179","0.236","0.286","0.280","0.519","0.462","0.329","0.349","0.317","0.381","0.347","0.377","0.521","0.749","0.960","1.648","1.922","2.797","2.095","1.286","1.372","1.143","1.815","3.093","3.154","3.734","3.535","4.109","4.027","","-","0.000","0.000","0.066","0.087","0.000","0.063","0.000","0.083","0.000","0.087","0.000","0.095","0.000","0.105","0.000","0.130","0.000","0.120","0.000","0.148","0.000","0.138","0.000","0.132","0.000","0.179","0.000","0.285","0.000","0.192","0.000","0.182","0.000","0.165","0.000","0.147","0.000","0.211","0.000","0.130","0.000","0.170","0.000","0.179","0.000","0.201","0.000","0.170","0.000","0.198","0.000","0.179","0.000","0.215","0.000","0.219","0.000","0.298","0.000","0.319","0.000","0.412","0.000","0.450","0.000","0.489","0.000","0.740","0.000","0.946","0.000","0.866","0.000","1.057","0.000","1.194","0.000","1.434","0.000","1.250","0.000","0.734","0.000","0.566","0.000","0.717","0.000","0.592","0.000","0.761","0.000","0.472","0.000","0.703","0.000","0.677","0.000","1.257","0.000","1.162","0.000","1.967","0.000","1.286","0.000","2.006","0.000","1.625","0.000","2.006","0.000","1.762","0.000","1.947","0.000","1.833","0.000","2.193","0.000"
