Fiscal Period,198806,198809,198812,198903,198906,198909,198912,199003,199006,199009,199012,199103,199106,199109,199112,199203,199206,199209,199212,199303,199306,199309,199312,199403,199406,199409,199412,199506,199509,199512,199603,199606,199609,199612,199703,199706,199709,199712,199803,199806,199809,199812,199903,199906,199909,199912,200003,200006,200009,200012,200103,200106,200109,200112,200203,200206,200209,200212,200303,200306,200309,200312,200403,200406,200409,200412,200503,200506,200509,200512,200603,200606,200609,200612,200703,200706,200709,200712,200803,200806,200809,200812,200903,200906,200909,200912,201003,201006,201009,201012,201103,201106,201109,201112,201203,201206,201209,201212,201303,201306,201309,201312,201403,201406,201409,201412,201503,201506,201509,201512,201603,201606,201609,201612,201703,201706,201709,201712,201803,201806
Revenue per Share,-,8.743,8.189,8.195,9.995,8.41,8.745,8.967,8.004,9.529,9.675,10.211,9.124,10.559,10.423,10.683,8.463,12.54,12.901,12.585,9.769,12.71,12.848,12.352,10.605,16.635,16.509,13.568,13.271,13.699,15.129,12.788,12.86,12.919,15.579,13.408,12.811,11.921,14.285,11.769,12.095,14.442,15.666,13.636,15.35,16.633,15.389,15.579,15.801,13.092,17.408,15.536,15.376,13.704,15.885,16.377,17.288,19.036,20.285,25.688,19.891,28.348,22.054,24.734,23.284,27.213,31.561,25.373,24.731,27.679,30.328,30.546,30.686,32.523,33.661,33.126,35.302,37.526,41.069,36.911,35.708,33.555,23.058,25.323,31.733,37.527,37.123,34.216,36.339,35.764,36.262,27.288,37.996,39.888,43.672,43.807,43.702,40.087,38.882,40.585,39.938,40.142,40.483,39.49,38.608,38.009,37.565,35.878,37.215,38.349,39.743,40.553,41.58,40.053,43.555,42.048,43.023,45.044,48.165,45.254
EBITDA per Share,-,8.743,8.189,8.195,-20.409,8.41,8.745,8.967,-25.065,9.529,9.675,10.211,-24.391,10.559,10.423,10.683,-31.378,12.54,12.901,12.585,-40.219,12.71,12.848,12.352,-37.268,16.635,16.509,13.568,13.271,13.699,-37.597,12.788,12.86,12.919,-34.044,13.408,12.811,11.921,-39.236,11.769,12.095,14.442,-36.889,13.636,0.894,16.633,-42.911,15.579,1.824,13.092,-38.088,15.536,1.167,13.704,-42.174,16.377,1.556,1.725,1.138,2.139,1.857,2.596,2.335,2.46,2.151,2.478,2.543,2.063,2.012,2.502,3.093,2.776,3.056,3.041,3.033,3.43,3.246,3.364,3.812,4.876,3.49,0.681,-3.396,1.353,3.058,4.199,3.547,3.955,3.254,3.298,2.684,1.436,2.914,3.869,3.98,5.37,5.221,3.191,5.249,6.595,5.925,6.118,4.68,6.746,6.332,6.484,4.932,6.322,6.54,6.438,5.318,6.55,5.712,5.675,5.125,6.47,6.117,7.131,6.847,7.565
EBIT per Share,-,8.743,8.189,8.195,-20.409,8.41,8.745,8.967,-25.065,9.529,9.675,10.211,-24.391,10.559,10.423,10.683,-31.378,12.54,12.901,12.585,-40.219,12.71,12.848,12.352,-37.268,16.635,16.509,13.568,13.271,13.699,-37.597,12.788,12.86,12.919,-34.044,13.408,12.811,11.921,-39.236,11.769,12.095,14.442,-36.889,13.636,0.894,16.633,-42.911,15.579,0.818,13.092,-38.088,15.536,1.167,13.704,-42.174,16.377,1.556,1.725,1.138,2.139,1.857,2.596,2.335,2.46,2.151,2.478,2.543,2.063,2.012,2.502,3.093,2.776,3.056,3.041,3.033,3.43,3.246,3.364,3.812,2.776,1.171,-1.887,-5.912,-0.856,0.6,1.646,0.96,1.897,1.045,1.042,0.375,-0.596,0.71,1.653,1.867,3.354,3.121,1.036,3.21,4.728,3.97,4.173,2.606,4.794,4.376,4.526,2.867,4.363,4.428,4.114,3.059,4.197,3.244,3.37,2.572,4.079,3.505,4.486,3.969,5.023
Earnings per Share (Diluted),-,0.368,0.355,0.355,0.433,0.394,0.41,0.421,0.376,0.309,0.314,0.514,0.467,0.247,0.244,0.25,0.197,0.108,0.111,0.108,0.501,0.171,0.173,0.166,0.143,0.27,0.268,0.161,0.157,0.162,0.796,0.403,0.405,0.407,0.49,0.522,0.498,0.464,0.468,0.366,0.376,0.36,0.81,0.442,0.497,0.708,0.694,0.73,0.739,0.746,0.927,0.53,0.524,0.97,0.341,0.931,0.985,0.77,0.701,1.397,1.34,1.851,1.767,1.575,1.594,1.738,1.954,1.504,1.676,2.066,2.095,2.012,2.15,2.269,2.325,2.509,2.459,2.578,1.983,2.1,0.835,-1.15,-4.983,-0.514,0.153,1.086,0.789,1.338,0.746,0.717,0.198,0.009,0.668,0.664,0.931,2.312,2.085,0.753,2.092,3.647,2.787,3.203,1.83,3.632,3.175,3.181,2.359,3.319,3.205,3.281,2.445,3.4,2.526,2.751,2.336,3.658,2.76,5.578,3.064,4.04
EPS without NRI,-,0.368,0.355,0.355,0.433,0.394,0.41,0.421,0.376,0.309,0.314,0.514,0.467,0.247,0.244,0.25,0.197,0.108,0.111,0.108,0.501,0.171,0.173,0.166,0.143,0.27,0.268,0.161,0.157,0.162,0.796,0.403,0.405,0.407,0.49,0.522,0.498,0.464,0.468,0.366,0.376,0.36,0.81,0.442,0.497,0.708,0.694,0.73,0.739,0.746,0.927,0.53,0.524,0.97,0.341,0.931,0.985,0.77,0.701,1.397,1.34,1.851,1.767,1.575,1.594,1.738,1.954,1.504,1.676,2.066,2.095,2.012,2.15,2.269,2.325,2.509,2.459,2.578,1.983,2.1,0.835,-1.15,-4.983,-0.514,0.153,1.086,0.789,1.338,0.746,0.717,0.198,0.009,0.668,0.664,0.931,2.312,2.085,0.753,2.092,3.647,2.787,3.203,1.83,3.632,3.175,3.181,2.359,3.319,3.205,3.281,2.445,3.4,2.526,2.751,2.336,3.658,2.76,5.578,3.064,4.04
Owner Earnings per Share (TTM),-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11,-2.45,-7.65,-8.46,-9.77,-5.55,2.72,6.09,8.16,5.31,3.47,4.38,1,-1.39,-0.63,-0.18,2.6,5.66,6.51,6.51,8.52,11.32,12.08,12.97,11.72,9.03,7.15,9.06,9.47,9.31,10.89,11.31,12.13,9.09,4.44,3.71,2.86,5.9,7.13,8.09,5.56
Free Cash Flow per Share,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533,-0.497,-6.145,-0.935,1.125,4.924,0.994,0.743,2.207,0.135,-1.178,1.209,-0.425,-1.235,-0.372,1.287,2.099,1.078,0.05,0.49,2.505,1.743,0.77,1.115,0.49,0.085,-0.686,1.92,0.337,-0.851,0.596,2.191,1.343,-2.79,-1.313,1.883,1.142,0.451,-0.259,2.47,-1.252
Operating Cash Flow per Share,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,3.472,-2.701,2.28,3.69,7.05,3.427,3.566,5.387,3.468,1.599,4.603,2.509,1.437,2.307,5.221,5.595,4.339,3.819,4.697,6.678,5.962,4.632,5.663,5.411,4.569,3.638,7.114,5.768,4.37,5.791,7.952,7.251,2.541,3.318,7.332,6.347,5.868,4.771,8.678,5.065
Dividends per Share,-,0,0,0.066,0.087,0,0.063,0,0.083,0,0.087,0,0.095,0,0.105,0,0.13,0,0.12,0,0.148,0,0.138,0,0.132,0,0.179,0,0.285,0,0.192,0,0.182,0,0.165,0,0.147,0,0.211,0,0.13,0,0.17,0,0.179,0,0.201,0,0.17,0,0.198,0,0.179,0,0.215,0,0.219,0,0.298,0,0.319,0,0.412,0,0.45,0,0.489,0,0.74,0,0.946,0,0.866,0,1.057,0,1.194,0,1.434,0,1.25,0,0.734,0,0.566,0,0.717,0,0.592,0,0.761,0,0.472,0,0.703,0,0.677,0,1.257,0,1.162,0,1.967,0,1.286,0,2.006,0,1.625,0,2.006,0,1.762,0,1.947,0,1.833,0,2.193,0
