Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Operating Income,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),  Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,  Net Income,  Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Forex Rate (USD/JPY),Insider Shares Owned,Institution Shares Held,Insider Ownership %,Institutional Ownership %,Price-to-Net-Current-Asset-Value,Price-to-Net-Net-Working-Capital,Price-to-Graham-Number,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (FCF Based),Price-to-Earnings-Power-Value,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Peter-Lynch-Fair-Value,Price-to-Median-PB-Value,Price-to-Median-PS-Value,Price-to-Net-Cash
198806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,,-,-,-,-,-,-,,-,
198809,8.743,8.743,8.743,0.368,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,"15,115.34",0,"15,115.34",0,0,0,"15,115.34",0,0,0,"-15,115.34",0,0,0,0,652.429,0,0,0,0.368,0.368,"1,728.92",0,"15,115.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,0,0,0,0,"1,728.92","1,728.92",0.06,,,0,0,123.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198812,8.189,8.189,8.189,0.355,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,"14,157.60",0,"14,157.60",0,0,0,"14,157.60",0,0,0,"-14,157.60",0,0,0,0,611.191,0,0,0,0.355,0.355,"1,728.92",0,"14,157.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,0,0,0,0,"1,728.92","1,728.92",0.02,,,0,0,123.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198903,8.195,8.195,8.195,0.355,0.355,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0.186,0,0,0,0,0,0,0,"14,168.87",0,"14,168.87",0,0,0,"14,168.87",0,0,0,"-14,168.87",0,0,0,0,611.678,0,0,0,0.355,0.355,"1,728.92",0,"14,168.87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,0,0,0,0,"1,728.92","1,728.92",0,,,0,0,130.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198906,9.995,-20.409,-20.409,0.433,0.433,0,0,0,0.087,14.932,14.932,8.693,0,0,0,0,"-2,253.41","-1,031.21",0,0,0,-204.19,0,0,0.582,0.519,0.302,277.71,0.694,0.202,0,0,0,0,0,0,0.067,"17,280.55",0,"17,280.55",0,0,"52,565.59","-35,285.04",0,0,0,"35,285.04",0,0,0,0,745.998,0,0,0,0.433,0.433,"1,728.92",0,"-35,285.04","13,472.72",0,"13,472.72",0,0,"6,711.12","6,711.12",0,0,0,0,"2,325.99","2,325.99","7,721.89","30,231.72",0,0,0,0,0,"23,921.52","23,921.52","-14,354.63","9,566.89",0,0,"9,981.60","49,780.20",0,0,0,0,0,"6,542.76",0,0,0,"7,087.93","13,630.69","8,487.03",0,"8,487.03",0,0,"1,845.89","23,963.61",0,0,"22,843.85",0,0,0,"2,972.74","25,816.60",0,"25,816.60",0,0,745.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.07,3.63,-5.4,0,0,0,0,0,0,0,0,0,0,2.22,2.05,N/A,0,0,0,0,0,0,0,"1,728.92","1,728.92",0.09,,,0,0,143.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198909,8.41,8.41,8.41,0.394,0.394,0,0,0,0,0,0,0,0,0,0,0,928.58,424.94,0,0,0,100,0,0,-,0,0,233.67,0.584,0,0,0,0,0,0,0,0.08,"14,540.13",0,"14,540.13",0,0,0,"14,540.13",0,0,0,"-14,540.13",0,0,0,0,697.99,0,0,0,0.394,0.394,"1,728.92",0,"14,540.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,-3.81,7.12,-3.81,0,"1,728.92","1,728.92",0.13,,,0,0,145.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198912,8.745,8.745,8.745,0.41,0.41,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0.153,0,0,0,0,0,0,0,"15,118.93",0,"15,118.93",0,0,0,"15,118.93",0,0,0,"-15,118.93",0,0,0,0,725.774,0,0,0,0.41,0.41,"1,728.92",0,"15,118.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,6.79,15.53,6.79,0,"1,728.92","1,728.92",0.21,,,0,0,143.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199003,8.967,8.967,8.967,0.421,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,"15,503.94",0,"15,503.94",0,0,0,"15,503.94",0,0,0,"-15,503.94",0,0,0,0,744.256,0,0,0,0.421,0.421,"1,728.92",0,"15,503.94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,9.42,18.37,9.42,0,"1,728.92","1,728.92",0.39,,,0,0,153.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199006,8.004,-25.065,-25.065,0.376,0.376,0,0,0,0.083,16.384,16.384,9.774,0,0,0,0,"-1,800.85",-956.91,0,0,0,-313.14,0,0,0.597,0.502,0.3,196.36,0.491,0.222,0,0,0,0,0,0,0.082,"13,478.38",0,"13,478.38",0,0,"55,685.09","-42,206.71",0,0,0,"42,206.71",0,0,0,0,647.016,0,0,0,0.376,0.376,"1,683.88",0,"-42,206.71","8,872.71",0,"8,872.71",0,0,"7,124.09","7,124.09",0,0,0,0,"2,201.27","2,201.27","15,455.82","33,653.89",0,0,0,0,0,"25,142.83","25,142.83","-15,026.54","10,116.29",0,0,"11,141.51","54,911.69","4,432.25",0,0,0,"4,432.25","8,504.43",0,0,0,"4,591.48","17,528.15","7,954.14",0,"7,954.14",0,0,"1,729.60","27,211.89",0,0,"23,944.10",0,0,0,"3,644.09","27,588.19",111.603,"27,699.80",0,0,647.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.96,3.76,-10.3,0,0,0,24.29,0,2,0,0,0,0,1.92,1.79,N/A,0,0,2.61,-19.92,-13.18,-22.81,0,"1,683.88","1,683.88",0.47,,,0,"70,841.00",153.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199009,9.529,9.529,9.529,0.309,0.309,0,0,0,0,0,0,0,0,0,0,0,684.62,363.79,0,0,0,100,0,0,-,0,0,233.77,0.584,0,0,0,0,0,0,0,0.069,"16,045.56",0,"16,045.56",0,0,0,"16,045.56",0,0,0,"-16,045.56",0,0,0,0,574.3,0,0,0,0.309,0.309,"1,683.88",0,"16,045.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Debt,0,0,0,13.31,-21.54,13.31,0,"1,683.88","1,683.88",0.55,,,0,0,138.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
