Ford,Dates,Last Price
0,2013-11-01,12.9909
1,2013-11-04,13.0755
2,2013-11-05,13.1447
3,2013-11-06,13.0063
4,2013-11-07,12.7294
5,2013-11-08,12.9601
6,2013-11-11,12.9909
7,2013-11-12,12.8601
8,2013-11-13,13.1524
9,2013-11-14,13.1447
10,2013-11-15,13.1293
11,2013-11-18,13.0601
12,2013-11-19,12.9755
13,2013-11-20,13.014
14,2013-11-21,13.1447
15,2013-11-22,13.0832
16,2013-11-25,13.0294
17,2013-11-26,12.9755
18,2013-11-27,13.0986
19,2013-11-29,13.137
20,2013-12-02,13.1217
21,2013-12-03,12.7371
22,2013-12-04,12.7832
23,2013-12-05,12.8755
24,2013-12-06,12.8448
25,2013-12-09,12.7371
26,2013-12-10,12.714
27,2013-12-11,12.6217
28,2013-12-12,12.6063
29,2013-12-13,12.7602
30,2013-12-16,12.9678
31,2013-12-17,12.8448
32,2013-12-18,12.0372
33,2013-12-19,11.768
34,2013-12-20,11.8603
35,2013-12-23,11.6526
36,2013-12-24,11.6833
37,2013-12-26,11.791
38,2013-12-27,11.768
39,2013-12-30,11.7526
40,2013-12-31,11.8679
41,2014-01-02,11.8756
42,2014-01-03,11.9295
43,2014-01-06,11.9833
44,2014-01-07,11.8295
45,2014-01-08,11.9525
46,2014-01-09,12.1833
47,2014-01-10,12.3602
48,2014-01-13,12.391
49,2014-01-14,12.614
50,2014-01-15,12.8448
51,2014-01-16,12.8678
52,2014-01-17,12.7063
53,2014-01-21,12.6217
54,2014-01-22,12.7294
55,2014-01-23,12.6371
56,2014-01-24,12.1756
57,2014-01-27,12.0833
58,2014-01-28,12.091
59,2014-01-29,11.8313
60,2014-01-30,11.8235
61,2014-01-31,11.5987
62,2014-02-03,11.2808
63,2014-02-04,11.5289
64,2014-02-05,11.4204
65,2014-02-06,11.5134
66,2014-02-07,11.6064
67,2014-02-10,11.5056
68,2014-02-11,11.5987
69,2014-02-12,11.6297
70,2014-02-13,11.6917
71,2014-02-14,11.8158
72,2014-02-18,11.9321
73,2014-02-19,11.8235
74,2014-02-20,11.839
75,2014-02-21,11.7537
76,2014-02-24,11.7692
77,2014-02-25,11.746
78,2014-02-26,11.8313
79,2014-02-27,11.9321
80,2014-02-28,11.9321
81,2014-03-03,11.7848
82,2014-03-04,11.9166
83,2014-03-05,12.1181
84,2014-03-06,12.1491
85,2014-03-07,12.1104
86,2014-03-10,12.0251
87,2014-03-11,11.8623
