Ford,New Date,Revenue
32,1988-12-31,31586.4
36,1989-12-31,24144.9
33,1989-3-31,25869.0
34,1989-6-30,25889.7
35,1989-9-30,20242.3
40,1990-12-31,24190.8
37,1990-3-31,23600.6
38,1990-6-30,26871.7
39,1990-9-30,22986.9
44,1991-12-31,21981.9
41,1991-3-31,21341.0
42,1991-6-30,23846.7
43,1991-9-30,21116.7
48,1992-12-31,25406.5
45,1992-3-31,24557.5
46,1992-6-30,26842.7
47,1992-9-30,23325.3
52,1993-12-31,27841.0
49,1993-3-31,26763.0
50,1993-6-30,29419.0
51,1993-9-30,24498.0
56,1994-12-31,33643.0
53,1994-3-31,30402.0
54,1994-6-30,33772.0
55,1994-9-30,30622.0
60,1995-12-31,34547.0
57,1995-3-31,34783.0
58,1995-6-30,36389.0
59,1995-9-30,31418.0
64,1996-12-31,38833.0
61,1996-3-31,36261.0
62,1996-6-30,37937.0
63,1996-9-30,33960.0
68,1997-12-31,39952.0
65,1997-3-31,36202.0
66,1997-6-30,40265.0
67,1997-9-30,36096.0
72,1998-12-31,36837.0
69,1998-3-31,36584.0
70,1998-6-30,37289.0
71,1998-9-30,32640.0
76,1999-12-31,43922.0
73,1999-3-31,37549.0
74,1999-6-30,41907.0
75,1999-9-30,37280.0
80,2000-12-31,42600.0
77,2000-3-31,42894.0
78,2000-6-30,44519.0
79,2000-9-30,40055.0
84,2001-12-31,39242.0
81,2001-3-31,42446.0
82,2001-6-30,42314.0
83,2001-9-30,36502.0
88,2002-12-31,40522.0
85,2002-3-31,39857.0
86,2002-6-30,42332.0
87,2002-9-30,39338.0
92,2003-12-31,46290.0
89,2003-3-31,40815.0
90,2003-6-30,40670.0
91,2003-9-30,36742.0
96,2004-12-31,45599.0
93,2004-3-31,44723.0
94,2004-6-30,42873.0
95,2004-9-30,39121.0
100,2005-12-31,46264.0
97,2005-3-31,45136.0
98,2005-6-30,44548.0
99,2005-9-30,40510.0
104,2006-12-31,40303.0
101,2006-3-31,40789.0
102,2006-6-30,41878.0
103,2006-9-30,37095.0
108,2007-12-31,44116.0
105,2007-3-31,43005.0
106,2007-6-30,44242.0
107,2007-9-30,41078.0
112,2008-12-31,28974.0
109,2008-3-31,43292.0
110,2008-6-30,41102.0
111,2008-9-30,31746.0
116,2009-12-31,34811.0
113,2009-3-31,24390.0
114,2009-6-30,26810.0
115,2009-9-30,30272.0
120,2010-12-31,32428.0
117,2010-3-31,31566.0
118,2010-6-30,35067.0
119,2010-9-30,29893.0
124,2011-12-31,33917.0
121,2011-3-31,33114.0
122,2011-6-30,35527.0
123,2011-9-30,33047.0
128,2012-12-31,35731.0
125,2012-3-31,32445.0
126,2012-6-30,33211.0
127,2012-9-30,32172.0
132,2013-12-31,37570.0
129,2013-3-31,35649.0
130,2013-6-30,37923.0
131,2013-9-30,35775.0
136,2014-12-31,35870.0
133,2014-3-31,35876.0
134,2014-6-30,37411.0
135,2014-9-30,34920.0
140,2015-12-31,40251.0
137,2015-3-31,33900.0
138,2015-6-30,37263.0
139,2015-9-30,38144.0
144,2016-12-31,38654.0
141,2016-3-31,37718.0
142,2016-6-30,39485.0
143,2016-9-30,35943.0
148,2017-12-31,41326.0
145,2017-3-31,39146.0
146,2017-6-30,39853.0
147,2017-9-30,36451.0
149,2018-3-31,41959.0
150,2018-6-30,38920.0
151,2018-9-30,37666.0
