Honda,New Date,Revenue
33,1988-12-31,6794.81
32,1988-9-30,6572.151
37,1989-12-31,6559.773
34,1989-3-31,7536.918000000001
0,1989-3-31,26832.002999999997
35,1989-6-30,6399.186
36,1989-9-30,6157.334
41,1990-12-31,7592.826
1,1990-3-31,24980.387000000002
38,1990-3-31,7030.29
39,1990-6-30,7311.451
40,1990-9-30,7347.204000000001
45,1991-12-31,8172.075
2,1991-3-31,31419.132
42,1991-3-31,8439.881
43,1991-6-30,8238.75
44,1991-9-30,8026.664000000001
49,1992-12-31,7865.06
3,1992-3-31,33085.952000000005
46,1992-3-31,8420.051
47,1992-6-30,8769.048
48,1992-9-30,8403.38
53,1993-12-31,8624.425
50,1993-3-31,8665.042
4,1993-3-31,35314.693999999996
51,1993-6-30,8529.771
52,1993-9-30,9050.167
57,1994-12-31,9024.069
54,1994-3-31,9920.278
5,1994-3-31,36777.842000000004
55,1994-6-30,9483.306
56,1994-9-30,10239.113000000001
61,1995-12-31,10117.192
58,1995-3-31,11764.238000000001
59,1995-6-30,11179.694
60,1995-9-30,9944.078000000001
65,1996-12-31,11714.573
62,1996-3-31,12041.687
63,1996-6-30,11303.687
64,1996-9-30,11351.287
69,1997-12-31,12019.176000000001
66,1997-3-31,11920.063999999998
67,1997-6-30,12419.796999999999
68,1997-9-30,11381.87
73,1998-12-31,12808.89
70,1998-3-31,13035.946000000002
71,1998-6-30,11349.901000000002
72,1998-9-30,11444.597
77,1999-12-31,14113.833
74,1999-3-31,12660.286
75,1999-6-30,12590.43
76,1999-9-30,14189.358
81,2000-12-31,14049.391000000001
78,2000-3-31,13387.995
79,2000-6-30,14585.927
80,2000-9-30,14078.322
85,2001-12-31,13768.976999999999
82,2001-3-31,16049.883999999998
83,2001-6-30,14384.271999999999
84,2001-9-30,14751.985
89,2002-12-31,16325.018
86,2002-3-31,16118.656
87,2002-6-30,15690.997
88,2002-9-30,15819.798999999999
93,2003-12-31,18470.04
90,2003-3-31,17827.046000000002
91,2003-6-30,16951.62
92,2003-9-30,17584.784
97,2004-12-31,20519.183999999997
94,2004-3-31,19760.314
95,2004-6-30,18931.828999999998
96,2004-9-30,19037.374
101,2005-12-31,20900.599
98,2005-3-31,22466.285
99,2005-6-30,20818.813000000002
100,2005-9-30,20991.498
105,2006-12-31,23597.667999999998
102,2006-3-31,24057.193
103,2006-6-30,22708.437
104,2006-9-30,22431.04
109,2007-12-31,27167.787999999997
106,2007-3-31,26343.385
107,2007-6-30,23895.517000000003
108,2007-9-30,25844.645
113,2008-12-31,27754.117000000002
110,2008-3-31,29683.352000000003
111,2008-6-30,26817.712000000003
112,2008-9-30,26426.145
117,2009-12-31,24910.701
114,2009-3-31,18230.014
115,2009-6-30,20723.721999999998
116,2009-9-30,22532.561
121,2010-12-31,25323.671000000002
118,2010-3-31,25128.582000000002
119,2010-6-30,26005.612
120,2010-9-30,26694.979
125,2011-12-31,24969.504
122,2011-3-31,27105.453999999998
123,2011-6-30,21318.952999999998
124,2011-9-30,24557.26
129,2012-12-31,28950.681
126,2012-3-31,29164.321
127,2012-6-30,30711.755
128,2012-9-30,29068.627999999997
133,2013-12-31,29198.618
130,2013-3-31,28964.44
131,2013-6-30,29146.861
132,2013-9-30,29132.356
137,2014-12-31,29314.526
134,2014-3-31,36749.114
135,2014-6-30,31419.282000000003
136,2014-9-30,29154.43
141,2015-12-31,29738.34
138,2015-3-31,29000.619
139,2015-6-30,29945.069
140,2015-9-30,30140.236
145,2016-12-31,30182.115
142,2016-3-31,32390.277000000002
143,2016-6-30,32953.966
144,2016-9-30,32057.675
149,2017-12-31,35037.236000000004
146,2017-3-31,33329.354
147,2017-6-30,33477.222
148,2017-9-30,34088.602
150,2018-3-31,36915.098
151,2018-6-30,36561.821
