Toyota,New Date,Revenue
34,1988-12-31,14157.604
33,1988-9-30,15115.341
38,1989-12-31,15118.925
35,1989-3-31,14168.874
0,1989-6-30,55822.168
36,1989-6-30,17280.552
37,1989-9-30,14540.133999999998
42,1990-12-31,16290.786
39,1990-3-31,15503.94
1,1990-6-30,59872.935999999994
40,1990-6-30,13478.383999999998
41,1990-9-30,16045.555
46,1991-12-31,19711.389
43,1991-3-31,20258.256
44,1991-6-30,18250.851000000002
2,1991-6-30,70624.976
45,1991-9-30,19969.099
50,1992-12-31,24002.96
47,1992-3-31,20203.553
48,1992-6-30,16658.661
3,1992-6-30,80149.527
49,1992-9-30,23332.085
54,1993-12-31,24123.553
51,1993-3-31,23415.046000000002
52,1993-6-30,18178.713
53,1993-9-30,23864.872000000003
58,1994-12-31,31734.557
55,1994-3-31,23193.321
56,1994-6-30,19918.885
57,1994-9-30,31976.582000000002
61,1995-12-31,25604.168999999998
59,1995-6-30,25358.924
60,1995-9-30,24803.533
65,1996-12-31,25131.147
62,1996-3-31,28380.751
63,1996-6-30,24875.527000000002
64,1996-9-30,25015.069
69,1997-12-31,22569.021
66,1997-3-31,29556.617000000002
67,1997-6-30,25558.115
68,1997-9-30,24151.45
73,1998-12-31,26826.556
70,1998-3-31,22438.816000000003
71,1998-6-30,22406.26
72,1998-9-30,23025.831000000002
77,1999-12-31,31561.991
74,1999-3-31,29596.061
75,1999-6-30,25839.429
76,1999-9-30,29128.862999999998
81,2000-12-31,24264.437
78,2000-3-31,28849.593999999997
79,2000-6-30,29257.847
80,2000-9-30,29614.07
85,2001-12-31,25761.246
82,2001-3-31,32441.759
83,2001-6-30,28592.409
84,2001-9-30,28249.961
89,2002-12-31,34360.201
86,2002-3-31,27533.415
87,2002-6-30,29615.715
88,2002-9-30,31205.435
93,2003-12-31,40662.755
90,2003-3-31,30752.953999999998
91,2003-6-30,34547.947
92,2003-9-30,35902.915
97,2004-12-31,44657.889
94,2004-3-31,43782.651
95,2004-6-30,41187.907999999996
96,2004-9-30,39815.052
101,2005-12-31,45092.372
98,2005-3-31,52719.884000000005
99,2005-6-30,45798.126
100,2005-9-30,44640.210999999996
105,2006-12-31,52387.29
102,2006-3-31,49181.843
103,2006-6-30,49249.404
104,2006-9-30,49738.788
109,2007-12-31,59871.907999999996
106,2007-3-31,53591.149000000005
107,2007-6-30,53173.649000000005
108,2007-9-30,56447.02099999999
113,2008-12-31,52619.48
110,2008-3-31,64521.397000000004
111,2008-6-30,58131.398
112,2008-9-30,56066.49
117,2009-12-31,58841.99
114,2009-3-31,36138.388
115,2009-6-30,39704.982
116,2009-9-30,49757.062999999995
121,2010-12-31,56074.485
118,2010-3-31,58208.41099999999
119,2010-6-30,53650.974
120,2010-9-30,56979.992999999995
125,2011-12-31,62537.420999999995
122,2011-3-31,56855.524000000005
123,2011-6-30,42785.347
124,2011-9-30,59571.981
129,2012-12-31,63476.79
126,2012-3-31,69150.109
127,2012-6-30,69363.413
128,2012-9-30,69197.674
133,2013-12-31,63648.212
130,2013-3-31,61592.128
131,2013-6-30,64331.969000000005
132,2013-9-30,63321.903
137,2014-12-31,60088.994000000006
134,2014-3-31,64192.047
135,2014-6-30,62615.191
136,2014-9-30,61018.070999999996
141,2015-12-31,60343.503
138,2015-3-31,59129.835999999996
139,2015-6-30,56480.174000000006
140,2015-9-30,59125.942
145,2016-12-31,61071.578
142,2016-3-31,61734.199
143,2016-6-30,62544.44
144,2016-9-30,63677.994000000006
149,2017-12-31,67343.132
146,2017-3-31,65911.297
147,2017-6-30,63541.119000000006
148,2017-9-30,64486.901
150,2018-3-31,71501.79
151,2018-6-30,66895.137
